key,0,1,2,3,4,5,6
34,"搭檔經驗值提高II","24小時內（地球時間），搭檔獲得的經驗增加15%。",64239,8,7000,21,True
35,"對戰戰績提高II","24小時內（地球時間），對戰時所獲得的狼印戰績增加10%。",64242,8,7000,22,True
36,"軍票提高II","24小時內（地球時間），獲得的軍票增加10%。",64243,8,7000,23,True
37,"鼓勵新人II","24小時內（地球時間），49級以下戰鬥職業的所有狀態參數提高5%。",64226,8,3500,25,True
38,"獲得力提高II","24小時內（地球時間），大地使者提升10點獲得力。",64227,8,7000,26,True
39,"鑑別力提高II","24小時內（地球時間），大地使者提升10點鑑別力。",64228,8,7000,27,True
40,"作業精度提高II","24小時內（地球時間），能工巧匠提升10點作業精度。",64229,8,7000,28,True
41,"加工精度提高II","24小時內（地球時間），能工巧匠提升10點加工精度。",64230,8,7000,29,True
42,"精鍊度增加量提高II","24小時內（地球時間），精鍊度增長得更快。",64234,8,7000,30,True
43,"食物效果時間延長II","24小時內（地球時間），食物的效果時間延長10分鐘。",64233,8,7000,31,True
44,"裝備損耗降低II","24小時內（地球時間），裝備品耐久度損耗降低20%。",64235,8,7000,32,True
45,"城內衝刺時間延長II","24小時內（地球時間），城內衝刺效果時間延長50%。",64245,8,5600,33,True
46,"傳送優惠II","24小時內（地球時間），傳送所需要花費的金幣減少30%。",64237,8,7000,34,True
47,"金碟幣提高II","24小時內（地球時間），獲得的金碟幣增加10%。",64244,8,7000,24,True
48,"","",0,0,0,0,False
49,"","",0,0,0,0,False
50,"","",0,0,0,0,False
51,"","",0,0,0,0,False
52,"","",0,0,0,0,False
53,"","",0,0,0,0,False
54,"","",0,0,0,0,False
55,"","",0,0,0,0,False
56,"","",0,0,0,0,False
57,"","",0,0,0,0,False
58,"","",0,0,0,0,False
59,"","",0,0,0,0,False
60,"","",0,0,0,0,False
61,"討伐經驗值提高III","24小時內（地球時間），打倒敵人時獲得的經驗增加15%。",64263,8,10500,35,False
62,"採集經驗值提高III","24小時內（地球時間），採集時獲得的經驗增加20%。",64265,8,10500,36,False
63,"製作經驗值提高III","24小時內（地球時間），製作時獲得的經驗增加20%。",64266,8,10500,37,False
64,"搭檔經驗值提高III","24小時內（地球時間），搭檔獲得的經驗增加20%。",64264,8,10500,38,False
65,"對戰戰績提高III","24小時內（地球時間），對戰時所獲得的狼印戰績增加15%。",64267,8,10500,39,False
66,"軍票提高III","24小時內（地球時間），獲得的軍票增加15%。",64268,8,10500,40,False
67,"","",0,0,0,0,False
68,"獲得力提高III","24小時內（地球時間），大地使者提升15點獲得力。",64252,8,10500,43,False
69,"鑑別力提高III","24小時內（地球時間），大地使者提升15點鑑別力。",64253,8,10500,44,False
70,"作業精度提高III","24小時內（地球時間），能工巧匠提升15點作業精度。",64254,8,10500,45,False
71,"加工精度提高III","24小時內（地球時間），能工巧匠提升15點加工精度。",64255,8,10500,46,False
72,"精鍊度增加量提高III","24小時內（地球時間），精鍊度增長得更快。",64259,8,10500,47,False
73,"食物效果時間延長III","24小時內（地球時間），食物的效果時間延長15分鐘。",64258,8,10500,48,False
74,"裝備損耗降低III","24小時內（地球時間），裝備品耐久度損耗降低30%。",64260,8,10500,49,False
75,"","",0,0,0,0,False
76,"傳送優惠III","24小時內（地球時間），傳送所需要花費的金幣減少40%。",64262,8,10500,51,False
77,"金碟幣提高III","24小時內（地球時間），獲得的金碟幣增加15%。",64269,8,10500,41,False
78,"","",0,0,0,0,False
79,"","",0,0,0,0,False
80,"","",0,0,0,0,False
81,"","",0,0,0,0,False
82,"","",0,0,0,0,False
83,"","",0,0,0,0,False
84,"","",0,0,0,0,False
85,"","",0,0,0,0,False
86,"","",0,0,0,0,False
87,"","",0,0,0,0,False
88,"","",0,0,0,0,False
89,"","",0,0,0,0,False
90,"","",0,0,0,0,False
91,"","",0,0,0,0,False
92,"","",0,0,0,0,False
93,"","",0,0,0,0,False
94,"","",0,0,0,0,False
95,"","",0,0,0,0,False
96,"","",0,0,0,0,False
97,"","",0,0,0,0,False
98,"","",0,0,0,0,False
99,"","",0,0,0,0,False
100,"","",0,0,0,0,False
