key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
262158,"混合制林間公館",0,"",0,0,1,0,0,23,1,6360,6387,6405,6414,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262159,"石製林間公館",0,"",0,0,1,0,0,23,1,6361,6388,6406,6415,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262160,"木製林間別墅",0,"",0,0,1,0,0,23,2,6362,6389,6404,6413,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262161,"混合制林間別墅",0,"",0,0,1,0,0,23,2,6363,6390,6405,6414,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262162,"石製林間別墅",0,"",0,0,1,0,0,23,2,6364,6391,6406,6415,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262163,"木製綠洲小屋",0,"",0,0,1,0,0,24,0,6365,6392,6407,6416,6457,6460,6467,0,0,0,6457,6460,6467,0
262164,"混合制綠洲小屋",0,"",0,0,1,0,0,24,0,6366,6393,6408,6417,6457,6460,6467,0,0,0,6457,6460,6467,0
262165,"石製綠洲小屋",0,"",0,0,1,0,0,24,0,6367,6394,6409,6418,6457,6460,6467,0,0,0,6457,6460,6467,0
262166,"木製綠洲公館",0,"",0,0,1,0,0,24,1,6368,6395,6407,6416,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262167,"混合制綠洲公館",0,"",0,0,1,0,0,24,1,6369,6396,6408,6417,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262168,"石製綠洲公館",0,"",0,0,1,0,0,24,1,6370,6397,6409,6418,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262169,"木製綠洲別墅",0,"",0,0,1,0,0,24,2,6371,6398,6407,6416,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262170,"混合制綠洲別墅",0,"",0,0,1,0,0,24,2,6372,6399,6408,6417,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262171,"石製綠洲別墅",0,"",0,0,1,0,0,24,2,6373,6400,6409,6418,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262172,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6455,6458,6461,0,0,0,0,0,0,0
262173,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6456,6459,6464,0,0,0,0,0,0,0
262174,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6457,6460,6467,0,0,0,0,0,0,0
262175,"木製東洋小屋",0,"",0,0,1,0,0,2402,0,20680,20689,20698,20701,20716,20718,20720,0,0,0,20716,20718,20720,0
262176,"混合制東洋小屋",0,"",0,0,1,0,0,2402,0,20681,20690,20699,20702,20716,20718,20720,0,0,0,20716,20718,20720,0
262177,"石製東洋小屋",0,"",0,0,1,0,0,2402,0,20682,20691,20700,20703,20716,20718,20720,0,0,0,20716,20718,20720,0
262178,"木製東洋公館",0,"",0,0,1,0,0,2402,1,20683,20692,20698,20701,20716,20718,20721,20716,20718,20721,20716,20718,20721,0
262179,"混合制東洋公館",0,"",0,0,1,0,0,2402,1,20684,20693,20699,20702,20716,20718,20721,20716,20718,20721,20716,20718,20721,0
262180,"石製東洋公館",0,"",0,0,1,0,0,2402,1,20685,20694,20700,20703,20716,20718,20721,20716,20718,20721,20716,20718,20721,0
262181,"木製東洋別墅",0,"",0,0,1,0,0,2402,2,20686,20695,20698,20701,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722
262182,"混合制東洋別墅",0,"",0,0,1,0,0,2402,2,20687,20696,20699,20702,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722
262183,"石製東洋別墅",0,"",0,0,1,0,0,2402,2,20688,20697,20700,20703,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722
262184,"",0,"",0,0,1,0,0,0,0,0,0,0,0,20716,20718,20720,0,0,0,0,0,0,0
