key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
11,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
12,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
13,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
14,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
15,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
16,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
17,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
18,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
19,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
20,"","",0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
21,"製作委託：雙蛇黨用於訓練的長槍","最近我們收到了雙蛇黨發來的訂單，要訂購一批用於新兵訓練的長槍。雙蛇黨是我們重要的顧客，交貨上絕對不能有半分耽擱。所以希望能有做事牢靠的工匠來參與製作。",9,6,5,2,1,0,1,0,39,39,False,9,167,0,39,80012,917649,True,0,1,1940,94,2,18,5,2257767,110007,True,0,14
22,"製作委託：廉價的木靴","柳桉木屐是格里達尼亞最受歡迎的木靴。無需使用華麗的裝飾和高級的素材，請為我們製作實用又便宜的木靴。希望能有踏實肯幹的工匠參與製作。",9,6,5,2,1,0,1,0,39,39,False,9,167,0,39,80012,917650,True,0,1,2460,94,2,18,5,2257767,110007,True,0,14
23,"籌集委託：新手工兵用的木靴","我們鬼哭隊有一批新兵結束了訓練成功被選拔為工兵。為了向他們表達出色完成訓練的祝賀，同時也希望他們能夠成為戰友們的可靠支柱，我們準備向他們贈送一批木靴。希望接下這個委託的工匠能夠做出具有紀念意義的佳品。",19,6,5,2,1,0,1,0,90,90,False,9,167,0,54,80012,917651,True,0,1,930,93,2,19,5,2648092,110010,True,0,14
24,"製作委託：新手斥候用的短弓","我們鬼哭隊有一批新兵結束了訓練成功被選拔為斥候。為了向他們表達出色完成訓練的祝賀，同時也希望他們能夠不放過任何一個目標，我們準備向他們贈送一批短弓。希望接下這個委託的工匠能夠做出具有紀念意義的佳品。",19,6,5,2,1,0,1,0,90,90,False,9,167,0,54,80012,917655,True,0,1,1700,93,3,18,5,2648092,110010,True,0,14
25,"製作委託：新手衛兵用的木盾","我們鬼哭隊有一批新兵結束了訓練成功被選拔為重步兵。為了向他們表達出色完成訓練的祝賀，同時也希望他們能夠成為守護故鄉的鐵壁，我們準備向他們贈送一批木盾。希望接下這個委託的工匠能夠做出具有紀念意義的佳品。",19,6,5,2,1,0,1,0,90,90,False,9,167,0,54,80012,917656,True,0,1,2460,94,3,18,5,2648092,110010,True,0,14
26,"籌集委託：用於樂器的楓木木材","「人工生命」是在格里達尼亞非常有名的一個吟遊詩人團體，他們在少女們的心中有著非常高的地位。也拜他們所賜，現在格里達尼亞裡豎琴的需求量大增。因此我們決定擴大生產量，急求職業工匠們來參與製作，我們會付出相應的報酬。",9,6,5,2,1,0,1,0,39,39,False,9,167,0,39,80012,917657,True,0,1,930,94,3,19,5,2257767,110007,True,0,14
27,"製作委託：雙蛇黨用於訓練的長弓","最近我們收到了雙蛇黨發來的訂單，要訂購一批用於新兵訓練的長弓。雙蛇黨是我們重要的顧客，交貨上絕對不能有半分耽擱。所以希望能有做事牢靠的工匠來參與製作。",9,6,5,2,5,0,1,0,39,39,False,9,167,0,39,80012,917652,True,0,1,6860,117,4,18,5,2257767,110007,True,0,14
28,"製作委託：冒險者用的木盾","現在冒險者的數量有逐漸增加的傾向，因而木盾的銷售情況也越來越可觀。我們黑兔堂為了對應這種需求多樣化的情況，制定了擴大經營的範圍以及儲備的方針。希望有技術和經驗的工匠們不要錯過這次商機。",9,6,5,2,5,0,1,0,39,39,False,9,167,0,39,80012,917653,True,0,1,11400,140,4,18,5,2257767,110007,True,0,14
29,"籌集委託：新手衛生兵用的幻具","我們鬼哭隊有一批新兵結束了訓練成功被選拔為衛生兵。為了向他們表達出色完成訓練的祝賀，同時也希望他們能夠救助戰友們的生命，我們準備向他們贈送一批幻具。希望接下這個委託的工匠能夠做出具有紀念意義的佳品。",19,6,5,2,5,0,1,0,90,90,False,9,167,0,54,80012,917654,True,0,1,4650,116,4,19,5,2648092,110010,True,0,14
30,"製作委託：用於新兵訓練的長槍","烤餅練兵為了提高新兵的素質，準備在基礎訓練中同時開放槍術與弓術的課程。現需要最基本的長槍作為武器。希望有熱心的工匠能夠來參與製作。",19,6,5,2,5,0,1,0,90,90,False,9,167,0,54,80012,917658,True,0,1,8700,117,5,18,5,2648092,110010,True,0,14
31,"製作委託：用於模擬戰的木劍","鳥人族是我們格里達尼亞的強敵，而他們最善用的武器就是劍。因此負責訓練的教官為了讓新兵熟悉其戰鬥方式會準備對假想敵人的模擬戰。為了下次模擬戰中扮演鳥人一方的教官能夠有武器可用，希望能有熱心工匠提供一批木劍，我們會支付相應的報酬。",19,6,5,2,5,0,1,0,90,90,False,9,167,0,54,80012,917659,True,0,1,4160,142,5,18,5,2648092,110010,True,0,14
32,"籌集委託：廉價的幻具","最近幻術師公會對招了不少新人，需要一批價格比較低的幻具來給新人使用。雖然這是絕好的商機，不過我們現在庫存比較緊張，希望能盡快有職業工匠來參與製作。",9,6,5,2,5,0,1,0,39,39,False,9,167,0,39,80012,917660,True,0,1,6000,116,5,19,5,2257767,110007,True,0,14
33,"製作委託：廉價的木製幻具","由於城中來了很多想要學習幻術的新人冒險者，現在廉價的木製幻具非常暢銷，甚至導致庫存變得緊張。因此現在黑兔堂正在協力招募工匠加緊生產。有興趣的工匠不妨關注一下。",9,6,5,2,10,0,1,0,39,39,False,9,167,0,39,80012,917523,True,0,1,8120,142,6,18,5,2257767,110007,True,0,14
34,"製作委託：面向雕金匠的製作工具","隨著來自烏爾達哈的商人也在黑檀商店街搭起了店鋪，其中的一些雕金匠向我們黑兔堂下了製作工具的訂單。這無論對於黑兔堂還是對於格里達尼亞來說都是絕佳的商機，而且也能表達出對烏爾達哈的友好。希望能有技術嫻熟的工匠來協助我們。",9,6,5,2,10,0,1,0,39,39,False,9,167,0,39,80012,917524,True,0,1,14940,142,6,18,5,2257767,110007,True,0,14
35,"籌集委託：柵欄建材","為了對彎枝牧場的設施進行擴建，我們需要大量的梣木建材。若有刻木匠能夠提供加工過的木材我們會提供豐厚報酬。",5,6,5,2,10,0,1,0,94,94,False,9,167,0,54,80012,917525,True,0,1,7180,239,6,19,5,2119045,110002,True,0,14
36,"製作委託：用於捐獻的長槍","多虧了鬼哭隊的警備，彎枝牧場才能夠順利建起各種設施。為了表達謝意，彎枝牧場準備向鬼哭隊捐獻一批帶有羽毛裝飾的長槍。現正在招募人員來製作這批長槍。",5,6,5,2,10,0,1,0,94,94,False,9,167,0,54,80012,917505,True,0,1,17880,145,7,18,5,2119045,110002,True,0,14
37,"製作委託：牧場用的裁縫工具","對於飼育陸行鳥這個職業而言，衣服和物品出現開線和磨損的情況簡直是家常便飯了。每次找專業人員來修補這些用品也是一筆不小的開支。所以我們目前想要盡量憑藉自己的力量來解決，希望能夠有人提供給我們裁縫用的相應工具。",5,6,5,2,10,0,1,0,94,94,False,9,167,0,54,80012,917506,True,0,1,24820,192,7,18,5,2119045,110002,True,0,14
38,"籌集委託：廉價的木盾","最近有不少新手冒險者為了學習幻術來到格里達尼亞，而廉價的木盾也隨著開始暢銷。但我的庫存快見底了，為了不坐失良機，求人製作梣木方盾。",9,6,5,2,10,0,1,0,39,39,False,9,167,0,39,80012,917507,True,0,1,18940,142,7,19,5,2257767,110007,True,0,14
39,"製作委託：鐵製長槍","鬼哭隊的新兵居然做出了將物資低價轉賣給烏爾達哈的商人這種事，這在以前是難以想像的。雖然我們已經給與了犯人開除的處分，但是被賣掉的物資這一空缺也無法追回了。為了補充物資的庫存，希望有實力的工匠能夠前來協助。",9,6,5,2,15,0,1,0,39,39,False,9,167,0,39,80012,917526,True,0,1,36700,197,8,18,5,2257767,110007,True,0,14
40,"製作委託：榆木製幻具","為了對應今後的需求擴大，我們需要增加榆木製雙手幻杖的庫存量。希望有實力的工匠能夠前來應聘。",9,6,5,2,15,0,1,0,39,39,False,9,167,0,39,80012,917527,True,0,1,25310,196,8,18,5,2257767,110007,True,0,14
41,"籌集委託：哨塔建材","為了防範鳥人族而新建的若斯蘭哨塔近日準備新增防箭用的護板。現在正在招募人手及建材，希望有興趣的工匠可以參加。",7,6,5,2,15,0,1,0,107,107,False,9,167,0,55,80012,917528,True,0,1,13920,292,8,19,5,2255476,110004,True,0,14
42,"製作委託：提供給鬼哭隊的面具","鬼哭隊現在正在為新加入第四槍隊的新兵們採購面具。希望職業的工匠們能夠熱心提供已經製造完成的成品。",7,6,5,2,15,0,1,0,107,107,False,9,167,0,55,80012,917511,True,0,1,48090,200,9,18,5,2255476,110004,True,0,14
43,"製作委託：面向冒險者的木盾","日前有來自烏爾達哈的冒險者向我們詢問木盾是否還有庫存。可惜很不巧當時庫房裡已經沒有木盾了。為了避免今後再次發生同樣的情況，我們現出高價收購熟練工匠生產的優質木盾。",7,6,5,2,15,0,1,0,107,107,False,9,167,0,55,80012,917512,True,0,1,36700,142,9,18,5,2255476,110004,True,0,14
44,"籌集委託：梣木製短弓","隨著新哨塔的建立，神勇隊制定了增員弓兵的計劃。不過事先預備的短弓卻被妖精族的不良團伙給偷走了。為了填補這批被盜走的物資，我們現在需要徵求熟練的工匠的幫助。",9,6,5,2,15,0,1,0,39,39,False,9,167,0,39,80012,917513,True,0,1,28950,145,9,19,5,2257767,110007,True,0,14
45,"製作委託：紫杉製幻具","碩老樹冥想窟日前委託我們製造一批用紫杉為材料製作的幻具。據說這是預備向結束了基礎修行的年輕幻術師們贈送的禮物。因為是禮物，所以質量上一定不能怠慢，希望有能力的工匠能夠協助我們進行生產。",9,6,5,2,20,0,1,0,39,39,False,9,167,0,39,80012,917529,True,0,1,18560,239,10,18,5,2257767,110007,True,0,14
46,"批發委託：提供給鬼哭隊的假面","為了紀念在5年前那場「加爾提諾戰役」中逝去的勇士們，鬼哭隊每個月都會舉行通過焚燒面具來鎮魂的儀式。因此現在需要大批儀式用的面具，希望有對自己技術有信心的工匠們能積極參與進來。",9,6,5,2,20,0,1,0,39,39,False,9,167,0,39,80012,917530,True,0,1,49020,444,10,26,5,2257767,110007,True,0,14
47,"籌集委託：面向義勇兵的長槍","我等鬼哭隊第五槍隊正在為迎擊鳥人族來襲進行籌備，需要向輔城的年輕槍手們發配一批長槍。現招募能夠製作出符合他們義勇兵身份的武器的工匠師傅。請有心人務必前來幫忙。",13,6,5,2,20,0,1,0,129,129,False,9,167,0,56,80012,917531,True,0,1,54470,204,10,19,5,2257677,110006,True,0,14
48,"製作委託：打磨武具用的砂輪","我等鬼哭隊正在籌備砂輪以打磨槍尖與箭頭。為了在鳥人族的威脅下守護石場水車，打磨完畢的武具是不可或缺的。我們誠心恭候技術嫻熟的工匠前來協助。",13,6,5,2,20,0,1,0,129,129,False,9,167,0,56,80012,917517,True,0,1,33300,244,11,18,5,2257677,110006,True,0,14
49,"批發委託：研究新的防衛對策","我等鬼哭隊第五槍隊為了強化石場水車的防禦，正在摸索新的策略。現在有新提議是用弩弓將鐵製的長槍射出，以打落敵人的裝甲氣球。因此衷心恭候擅長製作長槍的工匠前來指導。",13,6,5,2,20,0,1,0,129,129,False,9,167,0,56,80012,917518,True,0,1,37800,209,11,26,5,2257677,110006,True,0,14
50,"製作委託：胡桃木材","我等鬼哭隊第五槍隊正在為迎擊鳥人族來襲進行籌備，目前想要修復防禦牆。但修牆所需的建材卻不夠用了。因此衷心希望有能力的工匠來協助我們。",13,6,5,2,20,0,1,0,129,129,False,9,167,0,56,80012,917519,True,0,1,16670,246,11,18,5,2257677,110006,True,0,14
51,"製作委託：白蛇花紋的圓盾","我們的一位大主顧的女兒最近完成了她的基本訓練，因此家族中為了表示慶祝準備送給她的同期同學每人一面刻有白蛇花紋的圓盾。作為代表家族的禮物，做工自然是不能怠慢，希望有對自己刻繪技術有信心的工匠能夠協助生產。",9,6,5,2,25,0,1,0,39,39,False,9,167,0,39,80012,917673,True,0,1,89920,263,12,18,5,2257767,110007,True,0,14
52,"籌集委託：銀色光輝的戰叉","我等鬼哭隊第五槍隊一向以誠實為信條。之前在訓練中不小心將石場水車居民的耙子給弄壞了，因此我們想要賠償一些物品來表示歉意。銀光閃閃的戰叉應該會符合他們的喜好吧。",13,6,5,2,25,0,1,0,129,129,False,9,167,0,56,80012,917674,True,0,1,69330,316,12,19,5,2257677,110019,True,0,14
53,"批發委託：高級傢具用的木材","最近在烏爾達哈的富人群體中非常流行用高級木材打造的傢具。因此東阿爾迪納德商會向我們發來了大量的胡桃木材訂單。單憑現在刻木匠公會的庫存恐怕難以應付，我們急需對量產木材有自信的熟練工匠。",9,6,5,2,25,0,1,0,39,39,False,9,167,0,39,80012,917675,True,0,1,24760,465,12,26,5,2257767,110007,True,0,14
54,"製作委託：訓練義勇兵用的木劍","我等鬼哭隊第五槍隊為有志成為義勇兵的年輕人們準備了相應的訓練，並預計近期內舉行一次戰鬥演習。因此需要一批木劍提供給扮演鳥人士兵的教官們。希望有專於打造木劍的工匠師傅能夠前來協助。",13,6,5,2,25,0,1,0,129,129,False,9,167,0,56,80012,917676,True,0,1,76190,245,13,18,5,2257677,110019,True,0,14
55,"製作委託：提供給鬼哭隊的長槍","守衛輔城是我等鬼哭隊第五槍隊的使命。經歷了多次戰鬥，有不少武器都磨損了，我們需要新的武器。衷心希望有能力製作長槍的工匠來協助我們。",13,6,5,2,25,0,1,0,129,129,False,9,167,0,56,80012,917677,True,0,1,69330,323,13,18,5,2257677,110019,True,0,14
56,"批發委託：面向義勇兵的幻具","近日輔城的情況越來越嚴峻，隨時都有可能受到鳥人族的進攻。為此我們請來了幻術師公會的法師向義勇兵們傳授基礎的幻術魔法，以備不時之需。現急需招募對製作幻具有自信的工匠師傅協助我們製作一批幻具，用來給義勇兵們訓練用。",13,6,5,2,25,0,1,0,129,129,False,9,167,0,56,80012,917678,True,0,1,34310,248,13,26,5,2257677,110019,True,0,14
57,"籌集委託：送禮用的木劍","我的主人格格魯玖販賣古今東西的珍品，以此發家致富。因此，他對稀有的武具十分著迷。希望有能力製作古色古香的木劍的工匠來協助我們。",113,6,5,2,30,0,1,0,206,206,False,9,167,0,32,80012,917679,True,0,1,59360,314,14,19,5,3999030,110031,True,0,14
58,"製作委託：用於競技大會獎勵的弓","神勇隊發來了籌集特殊弓的委託。他們為了提高隊員們的能力準備籌辦一次弓術競技大會，並準備給成績優秀的隊員頒發相應的獎勵。因此我們需要提供一批適合當作獎品的高質量的弓。希望技術嫻熟的工匠們能夠為我們打造。",9,6,5,2,30,0,1,0,39,39,False,9,167,0,39,80012,917680,True,0,1,124020,326,14,18,5,2257767,110007,True,0,14
59,"批發委託：儀式典禮用的長槍","鄰國伊修加德的名門福爾唐家向我們發來了用於儀式典禮的長槍的訂單。福爾唐家是伊修加德四大名門之一，因此這次交易絕對不允許有任何失敗。希望能有對量產長槍有自信的熟練工匠前來接受工作。",9,6,5,2,30,0,1,0,39,39,False,9,167,0,39,80012,917681,True,0,1,89800,369,233,26,5,2257767,110007,True,0,14
60,"製作委託：用於狩獵的長弓","我的主人格格魯玖最近好像對「狩獵」很感興趣。並且想要去挑戰一下狩獵水牛，所以需要準備狩獵時所使用的長弓。希望有能力製作此類武器的工匠來協助我們。",113,6,5,1,30,0,1,0,206,206,False,9,167,0,32,80011,917682,True,0,1,119530,357,15,18,5,3999030,110031,True,0,14
61,"製作委託：老手傭兵用的長槍","我的主人格格魯玖想加強太陽海岸的防衛體系。因此想僱用一批優秀的槍術師當傭兵。希望有能力製作此類老手用長槍的工匠來協助我們。",113,6,5,1,30,0,1,0,206,206,False,9,167,0,32,80011,917683,True,0,1,129410,494,15,18,5,3999030,110031,True,0,14
62,"批發委託：捐贈給黑渦團的長槍","為向利姆薩·羅敏薩的政府表達協助之意，我的主人格格魯玖想向黑渦團捐贈武具。為此需要數把長槍。希望有能力的工匠協助我們。",113,6,5,1,30,0,1,0,206,206,False,9,167,0,32,80011,917684,True,0,1,116470,424,234,26,5,3999030,110031,True,0,14
63,"籌集委託：格里達尼亞風格的長槍","狄蘭達爾家希望我們為他們提供格里達尼亞風格的長槍。他們的騎兵使用的是金屬製的長槍。由於想試驗一下骨製槍是否好用，因此才訂了獸骨漁槍。",122,6,5,2,35,0,1,0,385,385,False,9,167,0,63,80012,917685,True,0,1,126660,368,16,19,5,3643002,110062,True,0,14
64,"製作委託：橡木製幻杖","碩老樹冥想窟向我們下了訂單，說是想要橡木製作的幻杖，以送給見習法師做禮物。年輕的幻術師們經歷了艱難的修行，肩負著格里達尼亞的未來。希望能有手藝過硬的工匠為他們製作幻杖。",9,6,5,2,35,0,1,0,39,39,False,9,167,0,39,80012,917686,True,0,1,194150,494,16,18,5,2257767,110007,True,0,14
65,"批發委託：古色古香的木劍","最近，鬥技場舉辦了個以古代文化為主題的戰鬥活動。要求劍鬥士身著古風衣裝，手持古風木劍戰鬥。因此向我們訂了大量梣木石刃棒，希望有能力的工匠幫忙製作。",9,6,5,2,35,0,1,0,39,39,False,9,167,0,39,80012,917687,True,0,1,71700,488,235,26,5,2257767,110007,True,0,14
66,"製作委託：陸行鳥弓騎兵用的弓","伊修加德四大名門之一狄蘭達爾家下了訂單，想為他們的騎兵團配備一批弓。由於是為斥候等輕騎兵準備的弓，因此希望能提供輕巧便攜的秘銀製弓。",122,6,5,2,35,0,1,0,385,385,False,9,167,0,63,80012,917688,True,0,1,166430,472,17,18,5,3643002,110062,True,0,14
67,"製作委託：面向酷寒地帶的木靴","第七靈災後，庫爾札斯地區急速降溫，降雪量也在逐年增加。那裡的人經常要在雪地上行走，因此需要不易滲水的木靴。請為我們提供結實的木靴。",122,6,5,2,35,0,1,0,385,385,False,9,167,0,63,80012,917689,True,0,1,133900,397,17,18,5,3643002,110062,True,0,14
68,"批發委託：面向狄蘭達爾家的弓","伊修加德的四大名家之一狄蘭達爾家下了訂單，想為他們的騎兵團配備一批弓。由於對數量有一定要求，因此希望有能力製作大量弓的冒險者來幫忙。",122,6,5,2,35,0,1,0,385,385,False,9,167,0,63,80012,917690,True,0,1,149790,419,236,26,5,3643002,110062,True,0,14
69,"籌集委託：面向騎兵團的戰戟","石衛塔負責從龍族爪下保衛伊修加德。在石衛塔淪陷之後，各騎兵團開始著手重整戰力，因此對武器和防具的需求量也在增大。希望有人能為我們提供金屬製槍尖的戰戟。",123,6,5,2,40,0,1,0,402,402,False,9,167,0,63,80012,917691,True,0,1,178400,521,18,19,5,3643494,110063,True,0,14
70,"製作委託：鑲嵌了翡翠的幻杖","碩老樹冥想窟下了訂單，希望能得到特別的幻杖。年輕的幻術師們完成了漫長的修行，終於可以作為一名法師獨當一面了。請在幻杖上鑲嵌上格里達尼亞最受歡迎的石材翡翠，以獎勵他們。",9,6,5,2,40,0,1,0,39,39,False,9,167,0,39,80012,917692,True,0,1,157520,613,18,18,5,2257767,110007,True,0,14
71,"批發委託：出口用的紡車","我們想向庫爾札斯地區出口紡車。當地盛產羊毛，大雪紛飛的日子裡女人們就在家裡紡毛線。希望有手藝精湛的工匠，為我們提供結實的優質紡車。",9,6,5,2,40,0,1,0,39,39,False,9,167,0,39,80012,917693,True,0,1,160560,678,237,26,5,2257767,110007,True,0,14
72,"製作委託：面向熟練騎兵的複合弓","為了能穿透龍族身上的硬鱗，狄蘭達爾家的騎兵團向我們訂了穿透力更強的弓。如果想要提高穿透力，那就應該利用多種素材，製作複合弓。請為我們提供。",123,6,5,2,40,0,1,0,402,402,False,9,167,0,63,80012,917694,True,0,1,178400,506,19,18,5,3643494,110063,True,0,14
73,"製作委託：面向騎兵團的砂輪","狄蘭達爾家的騎兵團正在準備對龍弩炮，因此需要製作、調整零部件用的工具。請為我們提供能用來研磨細小金屬零件的砂輪。",123,6,5,2,40,0,1,0,402,402,False,9,167,0,63,80012,917695,True,0,1,110960,548,19,18,5,3643494,110063,True,0,14
74,"批發委託：面向騎兵團的騎槍","為了奪回石衛塔，狄蘭達爾家的騎兵團正在著手準備武具。該騎兵團的陸行鳥騎兵需要大量騎槍。請為我們製作一定數量的騎槍。",123,6,5,2,40,0,1,0,402,402,False,9,167,0,63,80012,917696,True,0,1,160560,728,238,26,5,3643494,110063,True,0,14
75,"籌集委託：清除水晶的工具","我們聖寇伊納克財團正在調查古代亞拉戈文明的遺跡。由於遺跡處於結晶化地區，因此需要清除水晶才能繼續調查。請為我們提供尖銳的三尖槍。",124,6,5,2,45,0,1,0,416,416,False,9,167,0,67,80012,917697,True,0,1,286340,704,20,19,5,4258823,110064,True,0,14
76,"製作委託：美女留下的木靴","格里達尼亞歌劇團下了訂單，需要木靴作為演出道具。新劇講的是「圍繞著在舞會留下木靴的美女展開的淒慘殺戮事件」。希望手藝高超的工匠為我們提供美麗的木靴。",9,6,5,2,45,0,1,0,39,39,False,9,167,0,39,80012,917698,True,0,1,181150,467,20,18,5,2257767,110007,True,0,14
77,"批發委託：高級傢具用的木材","刻木匠公會下了訂單，希望能有人向他們提供紅木這種高級木材。據說是要製作面向富裕階層的高級傢具。由於我們黑兔堂的庫存不足以對應訂單，因此希望擅長大量製作的工匠幫忙。",9,6,5,2,45,0,1,0,39,39,False,9,167,0,39,80012,917699,True,0,1,68360,468,239,26,5,2257767,110007,True,0,14
78,"製作委託：用於做報酬的複合弓","摩杜納的挖掘調查少不了勇敢的冒險者的幫助。因此我們想用高級的武器答謝熟練的冒險者。請為我們提供高級的複合弓。",124,6,5,3,45,0,1,0,416,416,False,9,167,0,67,80013,917700,True,0,1,145390,954,21,18,5,4258823,110064,True,0,14
79,"製作委託：面向傭兵的弓","由於挖掘調查中的遺跡處於銀淚湖沿岸的結晶化地區，濃厚的乙太吸引來了凶暴的魔物。請為前去護衛的傭兵們製作威力大射程遠的弓。",124,6,5,3,45,0,1,0,416,416,False,9,167,0,67,80013,917701,True,0,1,189570,426,21,18,5,4258823,110064,True,0,14
80,"批發委託：驗證古代魔法用的咒杖","我們在古代亞拉戈文明的遺跡發現了一塊石板，上面記載著能賦予魔器魔法的咒文。為驗證此古代魔法的效果，請為我們製作大量樣品咒杖。",124,6,5,3,45,0,1,0,416,416,False,9,167,0,67,80013,917702,True,0,1,185760,802,240,26,5,4258823,110064,True,0,14
81,"製作委託：面向工匠的皮革頭巾","以鞣皮為原料製成的皮革頭巾一向很受工匠們的歡迎。因此我們必須要保證庫存裡不會缺貨。希望能有工匠提供給我們加工好的成品。",9,6,9,2,1,0,1,0,39,39,False,13,171,0,39,80012,917661,True,0,1,930,93,102,18,5,2257767,110007,True,0,14
82,"製作委託：皮革製護腕","格里達尼亞歌劇團即將在米·凱特劇場舉行一場新的演出，因此他們發來了舞台服裝的訂單。體型纖細的演員們還需要一些裝飾品來表現出冒險者的特徵，用一批鞣革護腕應該是非常合適的。希望能有技術熟練的工匠能提供支持，劇團會付出相應的報酬。",9,6,9,2,1,0,1,0,39,39,False,13,171,0,39,80012,917662,True,0,1,1310,93,102,18,5,2257767,110007,True,0,14
83,"籌集委託：用於新兵訓練的皮靴","烤餅練兵所最近好像想要為正在訓練的新兵準備皮靴。為了讓新兵們能夠順利度過嚴厲的行軍演習和渡河訓練，皮靴的質量一定要有保證。希望有熱心的工匠能夠來參與製作。",19,6,9,2,1,0,1,0,90,90,False,13,171,0,54,80012,917663,True,0,1,1700,94,102,19,5,2648092,110010,True,0,14
84,"製作委託：新手輜重兵用的腰包","我們鬼哭隊有一批新兵結束了訓練成功被選拔為輜重兵。為了向他們表達出色完成訓練的祝賀，同時也希望他們能夠成為戰友們的暗中支柱，我們準備向他們贈送一批腰包。希望接下這個委託的工匠能夠做出具有紀念意義的佳品。",19,6,9,2,1,0,1,0,90,90,False,13,171,0,54,80012,917667,True,0,1,1700,94,103,18,5,2648092,110010,True,0,14
85,"製作委託：訓練用的項環","鬼哭隊在策劃一場新兵之間的槍術模擬戰，不過雖然他們使用的是訓練用的特殊槍頭，但是為了以防萬一還是需要對咽喉等要害處加以防護。因此希望能夠有技術熟練的製革匠提供保護咽喉的鞣革項環。",19,6,9,2,1,0,1,0,90,90,False,13,171,0,54,80012,917668,True,0,1,1310,93,103,18,5,2648092,110010,True,0,14
86,"籌集委託：用於練習的鞣皮","最近我們收到了製革匠公會發來的訂單，要訂購一份用於實習工匠修行用的鞣皮。由於是給實習工匠參考的範本，所以需要製作得非常規範。特募集手藝高超的職業工匠來參與製作。",9,6,9,2,1,0,1,0,39,39,False,13,171,0,39,80012,917669,True,0,1,550,93,103,19,5,2257767,110007,True,0,14
