key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1006,"秘籍：第7卷",1,80,255,0,7,True,True,True,True,True,True,True,True,True
1007,"秘籍：第8卷",1,80,255,0,8,True,True,True,True,True,True,True,True,True
1008,"秘籍：其他",1,15,255,0,9,True,True,True,True,True,True,True,True,True
1009,"房屋1",2,12,255,0,1,False,True,True,True,True,True,True,True,True
1010,"房屋2",2,12,255,0,2,False,True,True,True,True,True,True,True,True
1011,"染劑",3,30,255,0,1,False,True,True,True,True,True,True,True,True
1012,"",0,0,0,0,0,False,False,False,False,False,False,False,False,False
1013,"職業任務",4,61,255,0,1,False,True,True,True,True,True,True,True,True
1014,"中庸工藝館交易",4,70,255,68763,2,False,False,True,True,True,False,False,False,False
1015,"中庸工藝館交易",4,70,255,68766,3,False,True,False,False,False,True,True,False,False
1016,"中庸工藝館交易",4,70,255,68769,4,False,False,False,False,False,False,False,True,True
1017,"鳥人族",5,1,255,0,1,False,True,True,True,True,True,True,True,True
1018,"莫古力族",5,50,255,0,2,False,True,True,True,True,True,True,True,True
1019,"鯰魚精族",5,60,255,0,3,False,True,True,True,True,True,True,True,True
1020,"熙洛·阿里亞珀",6,55,255,0,1,False,True,True,True,True,True,True,True,True
1021,"梅·娜格",6,55,255,0,2,False,True,True,True,True,True,True,True,True
1022,"紅",6,55,255,0,3,False,True,True,True,True,True,True,True,True
1023,"亞德基拉",6,55,255,0,4,False,True,True,True,True,True,True,True,True
1024,"凱·希爾",6,55,255,0,5,False,True,True,True,True,True,True,True,True
1025,"聯合重建1",7,20,255,73,1,False,True,True,True,True,True,True,True,True
1026,"其他",7,20,255,73,6,False,True,True,True,True,True,True,True,True
1027,"聯合重建2",7,20,255,73,2,False,True,True,True,True,True,True,True,True
1028,"天鋼工具",7,80,255,69384,5,False,True,True,True,True,True,True,True,True
1029,"矮人族",5,70,255,0,4,False,True,True,True,True,True,True,True,True
1030,"艾爾·圖",6,55,255,0,6,False,True,True,True,True,True,True,True,True
1031,"聯合重建3",7,20,255,73,3,False,True,True,True,True,True,True,True,True
1032,"50-60",8,50,255,0,1,False,True,True,True,True,True,True,True,True
1033,"61-70",8,61,255,0,2,False,True,True,True,True,True,True,True,True
1034,"71-80",8,70,255,0,3,False,True,True,True,True,True,True,True,True
1035,"裝飾品",3,50,255,0,3,False,False,False,False,False,False,False,True,False
1036,"聯合重建4",7,20,255,73,4,False,True,True,True,True,True,True,True,True
1037,"狄蘭達爾",6,55,255,0,7,False,True,True,True,True,True,True,True,True
1038,"秘籍：第9卷",1,90,255,0,1,True,True,True,True,True,True,True,True,True
1039,"81-90",8,80,255,0,1,False,True,True,True,True,True,True,True,True
1040,"魔法大學交易",4,80,255,69668,5,False,False,True,True,True,False,False,False,False
1041,"魔法大學交易",4,80,255,69675,6,False,True,False,False,False,True,True,False,False
1042,"魔法大學交易",4,80,255,69682,7,False,False,False,False,False,False,False,True,True
1043,"內外裝飾",2,12,255,0,1,False,True,True,True,True,True,True,True,False
1044,"庭具",2,12,255,0,2,False,True,True,True,True,True,True,True,True
1045,"調度品",2,12,255,0,3,False,True,True,True,True,True,True,True,True
1046,"調度品（台座・敷物）",2,12,255,0,4,False,True,True,True,True,True,True,True,False
1047,"調度品（桌上）",2,12,255,0,5,False,True,True,True,True,True,True,True,True
1048,"調度品（壁掛）",2,12,255,0,6,False,True,True,True,True,True,True,True,False
1049,"其他",2,12,255,0,7,False,False,False,False,False,False,False,True,False
1050,"",0,0,0,0,0,False,False,False,False,False,False,False,False,False
2000,"傳承錄·庫爾札斯篇",0,255,50,0,0,False,True,True,True,True,True,True,True,True
2001,"傳承錄·龍堡篇",0,255,50,0,0,False,True,True,True,True,True,True,True,True
2002,"傳承錄·阿巴拉提亞篇",0,255,50,0,0,False,True,True,True,True,True,True,True,True
2003,"傳承錄·基拉巴尼亞篇",0,255,60,0,0,False,True,True,True,True,True,True,True,True
2004,"傳承錄·奧薩德篇",0,255,60,0,0,False,True,True,True,True,True,True,True,True
2005,"傳承錄·諾弗蘭特篇",0,255,70,0,0,False,True,True,True,True,True,True,True,True
2006,"重建伊修加德",0,255,1,74,0,False,True,True,True,True,True,True,True,True
2007,"天鋼工具",0,255,80,69384,0,False,True,True,True,True,True,True,True,True
2008,"50-70",9,255,50,67631,3,False,True,True,True,True,True,True,True,True
2009,"71-80",9,255,70,67631,2,False,True,True,True,True,True,True,True,True
2010,"北洋地域・伊爾薩巴德",10,255,80,0,3,False,True,True,True,True,True,True,True,True
2011,"星外宙域",10,255,80,69932,2,False,True,True,True,True,True,True,True,True
2012,"古代世界",10,255,80,69956,1,False,True,True,True,True,True,True,True,True
2013,"81-90",9,255,80,67631,1,False,True,True,True,True,True,True,True,True
2014,"",0,255,255,0,0,False,True,True,True,True,True,True,True,True
