key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
7,10,12,20,2000,21000,0,0,1,"重要任務：消滅低級妖異","有目擊情報稱，在<hex:02092AE802FF0A>輕聲谷<hex:FF0D>沃連牢獄<hex:FF0D>豐饒神井<hex:03>發現低級妖異。放置不管的話，可能會給當地居民帶來災害。立即前往現場，將所有妖異消滅。",15772,15772,15772,15772,15772,15772,1,1,1,1,1,1,225,225,225,225,225,225,0,0,0,0,0,0,205,205,205,205,205,205,0,0,0,0,0,0,230,230,230,230,230,230,0,0,0,0,0,0,100,100,100,100,100,100
8,12,0,20,1000,15000,20,0,2,"支援前線部隊","<hex:020939E802FF10>骷髏谷營地<hex:FF13>歐金尼婭哨塔<hex:FF10>小阿拉米格<hex:03>的駐紮部隊發來支援請求。立即前往現場，支援當地部隊迎擊<hex:020927E802FF0A>地靈族<hex:FF0A>鳥人族<hex:FF0D>蜥蜴人族<hex:03>。",0,0,0,0,0,0,0,0,0,0,0,0,265,410,265,140,410,125,20,20,20,20,20,20,140,145,435,265,270,435,20,20,20,20,20,20,420,270,125,420,145,265,20,20,20,20,20,20,20,20,20,20,20,20
9,12,0,20,1000,16500,20,0,2,"護衛同盟軍軍官","<hex:020924E802FF0A>雙蛇黨<hex:FF0A>恆輝隊<hex:FF0A>黑渦團<hex:03>的軍官將來我城進行重要訪問。前往飛艇坪迎接，並在訪問期間做好萬全的接待和護衛。",0,0,0,0,0,0,0,0,0,0,0,0,270,130,270,145,415,415,20,20,20,20,20,20,440,440,145,270,275,150,20,20,20,20,20,20,130,270,425,425,150,275,20,20,20,20,20,20,20,20,20,20,20,20
10,12,0,25,1000,19500,20,0,2,"巡邏郊外道路","命令隊員在<hex:02093CE802FF10>東拉諾西亞<hex:FF19>黑衣森林南部林區<hex:FF0D>南薩納蘭<hex:03>的主要道路巡邏。當地道路多為運輸要道，睜大眼睛，確保道路治安。",0,0,0,0,0,0,0,0,0,0,0,0,425,140,280,425,280,155,20,20,20,20,20,20,285,450,155,160,450,280,20,20,20,20,20,20,160,280,435,285,140,435,20,20,20,20,20,20,20,20,20,20,20,20
11,12,0,30,1000,22500,20,0,2,"偵察蠻族據點","命令隊員前往<hex:02093FE802FF13>地靈軍試掘地<hex:FF13>鳥人軍採伐所<hex:FF13>蜥蜴人軍陣地<hex:03>執行偵察行動。消滅迎擊的敵方蠻族，將情報帶回。",0,0,0,0,0,0,0,0,0,0,0,0,170,440,440,295,155,295,20,20,20,20,20,20,295,300,175,465,465,170,20,20,20,20,20,20,450,175,300,155,295,450,20,20,20,20,20,20,20,20,20,20,20,20
12,12,0,35,1000,25500,20,0,2,"搜索失蹤人員","有友軍部隊成員在<hex:02093FE802FF13>拉諾西亞外地<hex:FF19>黑衣森林北部林區<hex:FF0D>北薩納蘭<hex:03>失蹤。在敵對勢力強大的區域迅速進行搜索救援。",0,0,0,0,0,0,0,0,0,0,0,0,310,185,455,170,310,455,20,20,20,20,20,20,480,310,315,480,185,190,20,20,20,20,20,20,170,465,190,310,465,315,20,20,20,20,20,20,20,20,20,20,20,20
13,12,0,35,1000,27000,20,0,2,"與同盟軍的聯合演習","與<hex:020924E802FF0A>恆輝隊<hex:FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:03>的聯合演習即將開始。作為<hex:020924E802FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:FF0A>恆輝隊<hex:03>的代表參加演習，並展現我軍優秀的能力。",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,455,310,170,310,185,455,20,20,20,20,20,20,190,480,480,185,310,315,20,20,20,20,20,20,315,170,310,465,465,190,20,20,20,20,20,20,20,20,20,20,20,20
14,13,15,40,4000,30000,0,0,2,"重要任務：奪取水晶","為了阻止敵對蠻族召喚<hex:020924E802FF07>泰坦<hex:FF0A>迦樓羅<hex:FF0D>伊弗利特<hex:03>，在<hex:02093FE802FF13>地靈軍試掘地<hex:FF13>鳥人軍採伐所<hex:FF13>蜥蜴人軍陣地<hex:03>開始了奪取水晶的作戰。與友軍部隊合作，潛入地方據點，奪取目標物品。",0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,315,315,315,0,0,0,0,0,0,325,325,325,325,325,325,0,0,0,0,0,0,340,340,340,340,340,340,0,0,0,0,0,0,100,100,100,100,100,100
15,16,17,40,4000,30000,0,0,2,"重要任務：奪取水晶","為了阻止敵對蠻族召喚<hex:020924E802FF07>泰坦<hex:FF0A>迦樓羅<hex:FF0D>伊弗利特<hex:03>，在<hex:02093FE802FF13>地靈軍試掘地<hex:FF13>鳥人軍採伐所<hex:FF13>蜥蜴人軍陣地<hex:03>開始了奪取水晶的作戰。與友軍部隊合作，潛入地方據點，奪取目標物品。",0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,315,315,315,0,0,0,0,0,0,325,325,325,325,325,325,0,0,0,0,0,0,340,340,340,340,340,340,0,0,0,0,0,0,100,100,100,100,100,100
16,15,0,40,2000,30000,20,0,3,"強襲蠻族據點","對<hex:02093CE802FF19>武伽瑪羅武裝礦山<hex:FF10>風揚殖民地<hex:FF0D>不悔戰陣<hex:03>的強襲作戰開始了。立即與友軍部隊匯合，助其一臂之力。",14946,14946,14946,14946,14946,14946,5,5,5,5,5,5,530,530,385,245,385,265,20,20,20,20,20,20,385,275,560,560,265,385,20,20,20,20,20,20,275,385,245,385,540,540,20,20,20,20,20,20,20,20,20,20,20,20
17,15,0,40,2000,30000,20,0,3,"取締違法武器交易","諜報部門傳來了違法武器販賣的情報。前往指定的交易場所，將犯罪者一網打盡。",14947,14947,14947,14947,14947,14947,5,5,5,5,5,5,385,245,385,265,530,530,20,20,20,20,20,20,560,560,265,385,385,275,20,20,20,20,20,20,245,385,540,540,275,385,20,20,20,20,20,20,20,20,20,20,20,20
18,15,0,40,2000,30000,20,0,3,"偵察帝國軍據點","命令隊員對<hex:020936E802FF10>帝國西方堡<hex:FF10>帝國中央堡<hex:FF10>帝國南方堡<hex:03>進行偵察。帶回該地帝國軍部隊動向的相關情報。",14948,14948,14948,14948,14948,14948,5,5,5,5,5,5,385,265,530,530,385,245,20,20,20,20,20,20,265,385,385,275,560,560,20,20,20,20,20,20,540,540,275,385,245,385,20,20,20,20,20,20,20,20,20,20,20,20
19,15,0,40,2000,30000,20,0,3,"追蹤帝國軍逃兵","有目擊情報稱，在<hex:02093CE802FF10>東拉諾西亞<hex:FF19>黑衣森林東部林區<hex:FF0D>北薩納蘭<hex:03>發現帝國軍逃兵。立即前往現場，搜尋並捕獲可疑人物。",14949,14949,14949,14949,14949,14949,5,5,5,5,5,5,530,385,245,385,265,530,20,20,20,20,20,20,275,560,560,265,385,385,20,20,20,20,20,20,385,245,385,540,540,275,20,20,20,20,20,20,20,20,20,20,20,20
20,15,0,40,2000,30000,20,0,3,"發動對帝國軍的牽制攻擊","艾歐澤亞同盟軍將在摩杜納展開對帝國軍部隊的牽制攻擊。代表<hex:020924E802FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:FF0A>恆輝隊<hex:03>參戰，引導作戰成功。",14950,14950,14950,14950,14950,14950,5,5,5,5,5,5,245,385,265,530,530,385,20,20,20,20,20,20,560,265,385,385,275,560,20,20,20,20,20,20,385,540,540,275,385,245,20,20,20,20,20,20,20,20,20,20,20,20
21,15,0,40,2000,30000,20,0,3,"切斷蠻族補給線作戰","為了切斷<hex:02095AE802FF19>西拉諾西亞魚人族<hex:FF22>黑衣森林北部林區鳥人族<hex:FF19>南薩納蘭蜥蜴人族<hex:03>的補給線，投入大部隊的作戰開始了。服從<hex:020927E802FF0A>軍令部<hex:FF0A>司令部<hex:FF0D>作戰總部<hex:03>的指示，參加作戰。",14951,14951,14951,14951,14951,14951,5,5,5,5,5,5,265,530,530,385,245,385,20,20,20,20,20,20,385,385,275,560,560,265,20,20,20,20,20,20,540,275,385,245,385,540,20,20,20,20,20,20,20,20,20,20,20,20
22,15,0,40,2000,30000,20,0,3,"追蹤通緝犯","有目擊情報稱，在<hex:02092AE802FF0D>拉諾西亞<hex:FF0D>黑衣森林<hex:FF0A>薩納蘭<hex:03>發現了<hex:020924E802FF0A>恆輝隊<hex:FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:03>正在通緝的罪犯。協助<hex:020924E802FF0A>恆輝隊<hex:FF0A>黑渦團<hex:FF0A>雙蛇黨<hex:03>的特務軍官進行追蹤。",14952,14952,14952,14952,14952,14952,5,5,5,5,5,5,530,530,245,385,265,385,20,20,20,20,20,20,275,385,560,560,385,265,20,20,20,20,20,20,385,275,385,245,540,540,20,20,20,20,20,20,20,20,20,20,20,20
23,15,0,40,2000,30000,20,0,3,"殲滅帝國軍補給部隊","諜報部門傳來了有關帝國軍補給部隊的重要情報。殲滅前往<hex:020936E802FF10>帝國西方堡<hex:FF10>帝國中央堡<hex:FF10>帝國南方堡<hex:03>的敵方補給部隊。",14953,14953,14953,14953,14953,14953,5,5,5,5,5,5,245,385,265,385,530,530,20,20,20,20,20,20,560,560,385,265,275,385,20,20,20,20,20,20,385,245,540,540,385,275,20,20,20,20,20,20,20,20,20,20,20,20
24,15,0,40,2000,30000,20,0,3,"消滅合成生物","在我國領土內發現了可怕的合成生物。追蹤<hex:02095DE802FF1F>身軀巨大的彌諾陶洛斯<hex:FF1F>操縱強大魔法的拉米亞<hex:FF19>異常兇猛的奇美拉<hex:03>，將其消滅。",14954,14954,14954,14954,14954,14954,5,5,5,5,5,5,265,385,530,530,245,385,20,20,20,20,20,20,385,265,275,385,560,560,20,20,20,20,20,20,540,540,385,275,385,245,20,20,20,20,20,20,20,20,20,20,20,20
25,15,0,50,3000,37500,20,0,3,"與拂曉的共同作戰","為了調查<hex:020927E802FF0A>地靈族<hex:FF0A>鳥人族<hex:FF0D>蜥蜴人族<hex:03>召喚蠻神的前兆，與拂曉血盟展開共同作戰。和同屬於組織的<hex:020936E802FF13>者斯拉佛希斯<hex:FF10>達呂斯泰爾<hex:FF0D>阿麗亞娜<hex:03>匯合，聽從其指示。",14946,14946,14946,14946,14946,14946,10,10,10,10,10,10,295,430,590,590,275,430,20,20,20,20,20,20,430,295,305,430,620,620,20,20,20,20,20,20,600,600,430,305,430,275,20,20,20,20,20,20,20,20,20,20,20,20
26,15,0,50,3000,37500,20,0,3,"開發反魔導兵器戰術","為了更加有效地開發反魔導兵器戰術，使用繳獲的帝國軍魔導兵器進行模擬戰。",14947,14947,14947,14947,14947,14947,10,10,10,10,10,10,275,430,295,430,590,590,20,20,20,20,20,20,620,620,430,295,305,430,20,20,20,20,20,20,430,275,600,600,430,305,20,20,20,20,20,20,20,20,20,20,20,20
27,15,0,50,3000,37500,20,0,3,"市民救出作戰","有情報稱<hex:020981E802FF31>受魚人族支配的海盜團「海蛇之舌」<hex:FF1F>鳥人族的裝甲氣球部隊<hex:FF2B>蜥蜴人族的拐人部隊「炎牙眾」<hex:03>綁架了普通市民。在無辜的市民們成為蠻神的祭品前，潛入敵方據點將其救出。",14948,14948,14948,14948,14948,14948,10,10,10,10,10,10,590,590,275,430,295,430,20,20,20,20,20,20,305,430,620,620,430,295,20,20,20,20,20,20,430,305,430,275,600,600,20,20,20,20,20,20,20,20,20,20,20,20
28,15,0,50,3000,37500,20,0,3,"消滅武裝集團","被認為是<hex:020957E802FF13>輝鱗人戰鬥團<hex:FF10>豹爪偷獵團<hex:FF2E>原阿拉米格王室親衛隊「骸旅團」<hex:03>分支的武裝集團在我國領土內為非作歹，成為了巨大的威脅。立即前往現場，消滅他們。",14949,14949,14949,14949,14949,14949,10,10,10,10,10,10,295,590,590,430,275,430,20,20,20,20,20,20,430,430,305,620,620,295,20,20,20,20,20,20,600,305,430,275,430,600,20,20,20,20,20,20,20,20,20,20,20,20
29,15,0,50,3000,37500,20,0,3,"取締違法邪教教團","宣揚末日思想的邪教教團「最後之民」正在進行非法布教。扮成普通市民在<hex:020938E802FF15>利姆薩·羅敏薩<hex:FF10>格里達尼亞<hex:FF0D>烏爾達哈<hex:03>境內巡視，揭發前來宣傳的邪教一夥。",14950,14950,14950,14950,14950,14950,10,10,10,10,10,10,275,430,295,590,590,430,20,20,20,20,20,20,620,295,430,430,305,620,20,20,20,20,20,20,430,600,600,305,430,275,20,20,20,20,20,20,20,20,20,20,20,20
30,15,0,50,3000,37500,20,0,3,"消滅非法召喚的妖異","有目擊情報稱，在我國領土內發現了被違法召喚的妖異。追蹤<hex:02093CE802FF10>夢魔型妖異<hex:FF10>行吟型妖異<hex:FF16>安可哈格型妖異<hex:03>，並將其消滅。",14951,14951,14951,14951,14951,14951,10,10,10,10,10,10,590,430,275,430,295,590,20,20,20,20,20,20,305,620,620,295,430,430,20,20,20,20,20,20,430,275,430,600,600,305,20,20,20,20,20,20,20,20,20,20,20,20
31,15,0,50,3000,37500,20,0,3,"擊破帝國軍廢棄兵器","被帝國軍廢棄的魔導兵器因某種原因而失控，威脅到了領地內的安全。立即前往現場，與特務士官合作將目標擊破。",14952,14952,14952,14952,14952,14952,10,10,10,10,10,10,430,295,590,590,430,275,20,20,20,20,20,20,295,430,430,305,620,620,20,20,20,20,20,20,600,600,305,430,275,430,20,20,20,20,20,20,20,20,20,20,20,20
32,15,0,50,3000,37500,20,0,3,"排除哥布林族集團","哥布林族科學家組織青藍之手的下屬集團正在我方領土內進行機工兵器的驗證試驗。立即趕往現場，阻止未經許可的試驗。",14953,14953,14953,14953,14953,14953,10,10,10,10,10,10,430,275,430,295,590,590,20,20,20,20,20,20,620,620,295,430,430,305,20,20,20,20,20,20,275,430,600,600,305,430,20,20,20,20,20,20,20,20,20,20,20,20
33,15,0,50,3000,37500,20,0,3,"揭發假副牙士","據稱，有一位自稱是格里達尼亞副牙士的強壯男人經常大聲恐嚇無辜的市民。為了維護艾歐澤亞同盟軍的威信，揭發這個副牙士。",14954,14954,14954,14954,14954,14954,10,10,10,10,10,10,590,590,430,275,430,295,20,20,20,20,20,20,430,305,620,620,295,430,20,20,20,20,20,20,305,430,275,430,600,600,20,20,20,20,20,20,20,20,20,20,20,20
34,17,19,50,5000,40000,0,0,2,"重要任務：殲滅帝國軍特殊部隊","諜報部門發現有一支帝國軍特殊部隊潛入到了<hex:020930E802FF10>東拉諾西亞<hex:FF0D>東部林區<hex:FF0D>北薩納蘭<hex:03>。他們想進入我們的城市展開破壞，騷擾我軍大後方。請立刻趕赴現場，殲滅敵方部隊！",0,0,0,0,0,0,0,0,0,0,0,0,370,370,370,370,370,370,0,0,0,0,0,0,355,355,355,355,355,355,0,0,0,0,0,0,345,345,345,345,345,345,0,0,0,0,0,0,100,100,100,100,100,100
