key,0,1,2,3,4,5,6,7,8,9
18,66031,3,5,1,114712,114112,114412,"水晶塔","","長久以來，人們都以為聖典中記述的絢麗水晶巨塔僅僅只是一個傳說。<hex:02100103>然而，在第七靈災的影響下，水晶塔的身影出現在了摩杜納的土地上。<hex:02100103>和探尋亞拉戈秘密的同伴們一起解開水晶塔之謎吧！"
19,67875,3,4,2,114713,114113,114413,"亞歷山大機神城","","一座機械巨城突然出現在了位於龍堡內陸低地的沙利亞克河中段。<hex:02100103>面對這新的蠻神威脅，光之戰士們再次挺身而出！<hex:02100103>就這樣，一場穿越時光的大冒險拉開了帷幕。"
20,67910,3,5,2,114714,114114,114414,"瑪哈之影","","空賊，那是一群駕馭著自己心愛的飛空艇、自由翱翔於天空追尋各處秘境與秘寶的無畏之人。<hex:02100103>然而在這樣一群人中間，近日卻流傳出了「有一條幽靈船在雲海中徘徊」的恐怖傳聞。<hex:02100103>時值大航空時代，古代魔法師們建造的魔航船「方舟」顯露了它的身影。"
21,67930,3,6,1,114715,114115,114415,"上古眾神","","魔大陸阿濟茲封印著古代蠻神「三鬪神」，<hex:02100103>其中的魔神薩菲洛特即將甦醒。<hex:02100103>從來訪血盟的蛇心口中知曉了這一危機的光之戰士展開了新的死鬥……"
22,68693,3,4,3,114716,114116,114416,"歐米茄時空狹縫","","為了從蠻神的威脅中解救艾歐澤亞，<hex:02100103>西德與尼祿啟動了古代兵器「歐米茄」。<hex:02100103>它與神龍大戰一番後，消失在了基拉巴尼亞方向。<hex:02100103>由此，一場超乎想像的戰鬥即將在時空狹縫展開。"
23,68726,3,5,3,114717,114117,114417,"重返伊瓦利斯","","遠東之國的黃金港迎來了一艘名為「初見號」的移動式空中劇場。<hex:02100103>這個憑藉音樂劇《黃道勇士傳奇》在加雷馬帝國極富盛名的劇團為何會來到這遠東的商港？<hex:02100103>我們的故事即將重返那夢幻般的王國——伊瓦利斯。"
24,68702,3,6,2,114718,114118,114418,"四聖獸奇譚","","「典膳驅鬼」講的是一名武士帶著擁有神奇力量的「四聖獸」挑戰鬼怪的故事。<hex:02100103>然而在這個傳說故事的背後，究竟隱藏著怎樣的真相呢？<hex:02100103>紅玉海的角落裡，奇妙的物語正在拉開序幕。"
25,66038,2,7,1,114719,114119,114419,"非著名調查員","","在第七靈災中喪生的那個男人又回來了！<hex:02100103>天知地知事件知，其乃漂泊的調查員——希爾迪布蘭德！<hex:02100103>請和勇敢無畏且充滿智慧的紳士一起，<hex:02100103>解決困擾艾歐澤亞人民的案件吧！"
26,67908,2,7,2,114720,114120,114420,"非著名調查員外傳：蒼穹之章","","調查員希爾迪布蘭德飛向高空，消失在北方天際。<hex:02100103>調查員助手娜修·瑪卡拉卡追隨他的行蹤，來到了北方皇都伊修加德。<hex:02100103>希爾迪布蘭德究竟是否還活著？<hex:02100103>在北方的凍土上，調查員的故事拉開了新的序幕！"
27,68704,2,7,3,114721,114121,114421,"非著名調查員外傳：紅蓮之章","","追隨著消失在東方天際的紳士，娜修·瑪卡拉卡來到了遙遠的東方國度。<hex:02100103>在這裡，她聽說了在黃金港作亂的「小賊一匹狼」的傳聞……<hex:02100103>調查員故事的第三幕自此開始！"
28,67900,2,8,1,114722,114122,114422,"聖恩達利姆神學院記","","光之戰士揭露了龍詩戰爭的真相，<hex:02100103>卻也從根本上顛覆了伊修加德的宗教與歷史。<hex:02100103>此事波及到培養伊修加德正教神職人員的「聖恩達利姆神學院」，<hex:02100103>引發了一場將諸多學子捲入其中的騷亂。"
29,67015,2,9,1,114723,114123,114423,"龍詩戰爭外傳","","追憶而行，踏過那銀色的雪原，<hex:02100103>浮現於眼前的，是友人不變的笑臉。<hex:02100103>龍詩戰爭結束了。光之戰士踏上了一段回憶之旅。"
30,66075,7,10,1,114724,114124,114424,"刻木匠任務 1","","在格里達尼亞，人們利用黑衣森林所賜予的自然恩惠，發展出了各式各樣的木材加工技術。<hex:02100103>而聚集了眾多從事刻木行業人員的「刻木匠公會」也成為了保障人們生活基礎的一個重要支點。<hex:02100103>冒險者跟隨熱愛木材的刻木匠公會會長貝亞坦學習刻木技術，<hex:02100103>通過自己製作的作品，為森都的住民們解決著各種各樣的煩惱。"
31,67537,7,10,2,114725,114125,114425,"刻木匠任務 2","","圍繞著公會會長貝亞坦的朋友蓋伊爾哈德的弓所引發的騷動，<hex:02100103>在冒險者製作的新弓和蓋伊爾哈德的平安歸來下順利地解決了。<hex:02100103>而作為刻木匠略有所成的冒險者，也接受了貝亞坦的囑託，<hex:02100103>帶著一杆用舊了的槍，出發前往伊修加德。"
32,67981,7,10,3,114726,114126,114426,"刻木匠任務 3","","以成為騎士為目標的巴爾托維厄，利用冒險者製作的槍，<hex:02100103>成功地打倒了父親的仇敵狐蛇飛龍，加入了神殿騎士團。<hex:02100103>在見證了巴爾托維厄開始新生活後，<hex:02100103>冒險者又接受了監督新人刻木匠的任務，動身前往遠東之國。"
33,65838,7,11,1,114727,114127,114427,"鍛鐵匠任務 1","","說到利姆薩·羅敏薩鍛鐵技術的發展，就不得不提起海盜和地靈族。<hex:02100103>而鍛鐵匠公會則一直守護傳承著這項在改良和交流中發展起來的技術。<hex:02100103>跟隨在時常因操心而胃痛的鍛鐵匠公會會長布瑞賽爾身邊學習的冒險者，<hex:02100103>通過一件件委託，不斷地磨練著自己的技藝。"
34,67547,7,11,2,114728,114128,114428,"鍛鐵匠任務 2","","成功完成了貿易商人費茲阿爾的委託後，冒險者的優秀技術得到了公會會長布瑞賽爾的認可。<hex:02100103>胃痛得到緩解的布瑞賽爾，又將一項來自伊修加德名門貴族的委託交給了冒險者。"
35,68155,7,11,3,114729,114129,114429,"鍛鐵匠任務 3","","沒落貴族傑爾凡家的年輕家主洛莉斯，<hex:02100103>在冒險者的幫助下修好了寶劍，踏出了參選神殿騎士的第一步。<hex:02100103>順利地結束了伊修加德的工作後，冒險者又被捲入了另一場風波，<hex:02100103>一位來自東方的少女，想要加入鍛鐵匠公會……"
36,65820,7,12,1,114730,114130,114430,"鑄甲匠任務 1","","一些專精於板金技術的匠人們從鍛鐵匠中獨立出來，成立了鑄甲匠公會，<hex:02100103>他們一邊和鍛鐵匠公會切磋較量，一邊共同支撐著利姆薩·羅敏薩人們的生活。<hex:02100103>冒險者跟隨著重視技術共享與傳承的公會會長赫·納恩薩，<hex:02100103>在和公會的夥伴們一起鑽研著鑄甲技術時，一名鑄甲匠擋在了冒險者的面前。"
37,67578,7,12,2,114731,114131,114431,"鑄甲匠任務 2","","冒險者與孤高的鑄甲匠布蘭修提爾定下的三局兩勝之約，<hex:02100103>在梅爾維布提督的裁定下，最終以冒險者的勝利落下了帷幕。<hex:02100103>冷靜下來的布蘭修提爾也在冒險者一行人的幫助下重新振作了起來，開始了新的修行。"
38,68134,7,12,3,114732,114132,114432,"鑄甲匠任務 3","","通過解決冒險者一行人的委託，鑄甲匠布蘭修提爾學會了體察客人的意向，<hex:02100103>以及與同伴更好地配合，有了很大的成長。<hex:02100103>然而，這個好強的男人並不會就這樣輕易安分下來，<hex:02100103>於是冒險者與布蘭修提爾一同踏上了前往東方的旅途，開始了新技術的交流。"
39,66194,7,13,1,114733,114133,114433,"雕金匠任務 1","","因薩納蘭地區擁有豐富的礦產資源，再加上烏爾達哈作為繁榮的貿易都市的優勢，<hex:02100103>雕金文化在烏爾達哈十分發達，許多從事雕金行業的匠人都在「雕金匠公會」大展身手。<hex:02100103>冒險者跟隨文靜的公會會長賽倫蒂碧提與擁有審美之眼的魔法人偶一起鑽研雕金技術，<hex:02100103>卻意外地被捲入了某個事件中。"
40,67610,7,13,2,114734,114134,114434,"雕金匠任務 2","","在城中引起騷動的傳說中的欺詐師狐狸傑德終於被繩之以法，<hex:02100103>魔法人偶涅吉也在冒險者製作的裝飾品下成功地被修復了。<hex:02100103>公會會長賽倫蒂碧提對冒險者的技術表示了充分的肯定，<hex:02100103>並打算將冒險者介紹給在烏爾達哈享譽盛名的艾斯泰姆珠寶店的銷售人員。"
41,68139,7,13,3,114735,114135,114435,"雕金匠任務 3","","知名珠寶店「艾斯泰姆」的銷售人員馬塞爾將一對夫婦介紹給了冒險者，<hex:02100103>冒險者製作了一對八音盒，為他們的結婚紀念日裝點了更加浪漫的色彩。<hex:02100103>而雕金技術更上一層樓的冒險者也從一位意想不到的人物那裡接到了一份<hex:02100103>事關烏爾達哈未來的重要委託。"
42,65602,7,14,1,114736,114136,114436,"製革匠任務 1","","自古以來生活在森林中的格里達尼亞人民十分擅長狩獵，<hex:02100103>皮革產業也因此興起，匠人們聚集在一起成立了「製革匠公會」。<hex:02100103>在跟隨技術超然的公會會長蓋娃學習如何使用「生命的恩惠」的同時，<hex:02100103>冒險者也面臨著「新興製革品牌」的各種挑戰。"
43,67615,7,14,2,114737,114137,114437,"製革匠任務 2","","冒險者與新興製革品牌「博薩大叔」之間的競爭，<hex:02100103>最終以冒險者的作品獲得品評會的第一名而告終。<hex:02100103>之後，冒險者又從公會會長蓋娃處接受了新的委託，<hex:02100103>前去拜訪在伊修加德開設店鋪的「新銳商人」。"
44,68151,7,14,3,114738,114138,114438,"製革匠任務 3","","因協助新銳商人艾爾德為更多的市民提供優質的商品，<hex:02100103>冒險者的名匠之名也在伊修加德變得家喻戶曉了。<hex:02100103>製革手藝大幅進步的冒險者不僅得到了公會會長蓋娃的賞識，<hex:02100103>也因此收到了某位博物學者提出的特殊委託。"
45,66190,7,15,1,114739,114139,114439,"裁衣匠任務 1","","在薩納蘭，傳統的紡織業曾因東方流入的低價商品而大受打擊，<hex:02100103>於是裁衣匠們以技術共享、提高品質為目標建立了「裁衣匠公會」並發展至今。<hex:02100103>冒險者跟隨秀麗的公會會長雷多倫特·羅斯，<hex:02100103>用自己的技術為毫不在意衣著的採礦工鋪就了戀愛之路。"
46,67542,7,15,2,114740,114140,114440,"裁衣匠任務 2","","在冒險者製作的服裝的幫助下，採礦工瓦瓦魯卡<hex:02100103>和寶石商人家小姐可可摩終於走上了兩情相悅的戀愛之路。<hex:02100103>冒險者也代替忙得抽不開身的雷多倫特·羅斯前往伊修加德，<hex:02100103>繼續研究時尚風向。"
47,67971,7,15,3,114741,114141,114441,"裁衣匠任務 3","","在冒險者的裁衣技藝支持下，貴族少女阿弗麗爾終於消除了與母親之間的芥蒂，<hex:02100103>在母親與冒險者的見證下與心愛之人一起前往了戰場。<hex:02100103>結束了在伊修加德學習之旅的冒險者回到公會後，<hex:02100103>收到了公會會長雷多倫特·羅斯的委託，與他一同前往出席某個商談會。"
48,66186,7,16,1,114742,114142,114442,"鍊金術士任務 1","","鍊金術曾一度被認為是異端的秘術而被忌諱，「福隆戴爾藥學院」改變了這種認知，<hex:02100103>於是鍊金術研究者們紛紛前往烏爾達哈，並在此設立了「鍊金術士公會」。<hex:02100103>冒險者加入公會後，被醉心於研究的公會會長塞文利安任命為助手，<hex:02100103>開始協助他完成其追求的「究極鍊金術」。"
49,67605,7,16,2,114743,114143,114443,"鍊金術士任務 2","","公會會長塞文利安在冒險者的協助下完成了「究極鍊金術」，<hex:02100103>得以與已經陰陽兩隔的戀人瓦·奈嘉的靈魂短暫相見。<hex:02100103>之後，塞文利安將一件「神秘又偉大的雜活」交給了冒險者，<hex:02100103>於是冒險者攜帶著與某個事件相關的鑑定書出發前往喪靈鐘。"
50,67976,7,16,3,114744,114144,114444,"鍊金術士任務 3","","在冒險者公會的威爾特維克和查奈奈的幫助下，<hex:02100103>冒險者作為調查顧問成功地完成了使命，逮捕了事件的主謀。<hex:02100103>然而，愛使喚助手的公會會長塞文利安又給冒險者安排了新的雜活，<hex:02100103>於是冒險者不得不前往烏爾達哈的墓地，開始調查「奇妙的屍體」。"
51,65806,7,17,1,114745,114145,114445,"烹調師任務 1","","拉諾西亞物產豐富，加上因貿易而從他國流入的食材、香料以及烹調方法，<hex:02100103>使利姆薩·羅敏薩的烹調行業飛速發展，並創立了「烹調師公會」。<hex:02100103>冒險者在烹調師公會會長兼海都引以為豪的「俾斯麥餐廳」總廚師長<hex:02100103>林格薩斯的指導下不斷修行，逐漸成長為一位被美食家們交口稱讚的烹調師。"
52,67583,7,17,2,114746,114146,114446,"烹調師任務 2","","在烏爾達哈女王娜娜莫的晚餐會上，冒險者用美味菜餚大展身手，<hex:02100103>給了羅羅力特沉重一擊，守住了「俾斯麥餐廳」的招牌。<hex:02100103>作為烹調師名聲大振的冒險者在公會會長林格薩斯的介紹下，<hex:02100103>前往三大海盜團之一「紅血聖女團」經營的酒館「永遠少女亭」。"
53,68144,7,17,3,114747,114147,114447,"烹調師任務 3","","冒險者與永遠少女亭的廚師長赫·瑪夏·提亞之間的對決，<hex:02100103>最終以獲得金德萊蒙烹飪大賽有史以來最高分的冒險者勝出落幕。<hex:02100103>此時，在名聲與實力大漲的冒險者面前出現了一個崇拜者，<hex:02100103>這位曾經是冒險者的烹調師希望能跟冒險者一起開發東方的菜餚。"
54,66182,8,18,1,114748,114148,114448,"採礦工任務 1","","礦業一直是礦脈豐富的薩納蘭地區的支柱產業，而為了維護採礦工的權益，<hex:02100103>使採礦工們不被礦山老闆剝削，「採礦工公會」這一組織就此誕生。<hex:02100103>冒險者需要幫助現今首屈一指的採礦工——公會會長阿達爾博塔，<hex:02100103>解決她和與她頗有淵源的「艾瑪吉娜礦山公司的副總經理」之間的紛爭。"
55,67620,8,18,2,114749,114149,114449,"採礦工任務 2","","公會會長阿爾達博塔與採礦工迪普·卡尼恩之間的誤會<hex:02100103>在冒險者的幫助下順利解決了。而在騷動中大展身手的冒險者，<hex:02100103>也接到了伊修加德僱傭的傭兵團委託的工作。"
56,68094,8,18,3,114750,114150,114450,"採礦工任務 3","","運用自己高超的技術，冒險者成功發掘出稀有的礦物，<hex:02100103>幫助「迅風傭兵團」完成了調查資源的任務，化解了他們的危機。<hex:02100103>面對不斷成長的冒險者，公會會長阿達爾博塔感到十分欣慰，<hex:02100103>並為冒險者介紹了一個來自田園郡工房的委託。"
57,65549,8,19,1,114751,114151,114451,"園藝工任務 1","","想要擁有黑衣森林的恩惠，就必須得到守護著森林的「元靈」的許可，<hex:02100103>為了能更好地和元靈溝通而成立的組織，後來逐漸演化為「園藝工公會」。<hex:02100103>冒險者在跟隨熱愛自然的公會會長弗弗茶學習的過程中，<hex:02100103>也逐漸了解到了戰爭對森林的破壞給她帶來的煩惱。"
58,67588,8,19,2,114752,114152,114452,"園藝工任務 2","","考慮隱退的弗弗茶在冒險者的全力努力下，終於找回了園藝工的熱情。<hex:02100103>之後，弗弗茶又將一份新的工作交給了冒險者，<hex:02100103>與前來園藝工公會取材的«渡鴉周刊»記者一同前往庫爾札斯。"
59,68160,8,19,3,114753,114153,114453,"園藝工任務 3","","冒險者在阿巴拉提亞雲海協助園藝工巴吉勒開拓雲海的活躍身姿，<hex:02100103>在«渡鴉周刊»記者穆吉·繆里拉的報道下引起了很大的反響。<hex:02100103>作為園藝工名聲大噪的冒險者受公會會長弗弗茶的邀請，<hex:02100103>出發前往田園郡的農業開發地「綠地菜園」。"
60,66654,8,20,1,114754,114154,114454,"捕魚人任務 1","","在漁業興盛的利姆薩·羅敏薩，有一種被稱為「網組」的捕魚人合作組織，<hex:02100103>而其中規模最大的便是海都引以為豪的「捕魚人公會」。<hex:02100103>冒險者在自由奔放的公會會長瓦瓦拉哥和代理公會會長希希蒲的指導下，<hex:02100103>通過為委託者們釣上他們所需要的魚類來磨鍊自己的捕魚技藝。"
61,67625,8,20,2,114755,114155,114455,"捕魚人任務 2","","由於傳聞海中出現了「大海蛇」，黑渦團下達了禁漁令，<hex:02100103>但在冒險者釣上被誤認為是「大海蛇」的大魚後，禁漁令便解除了。<hex:02100103>以高超的捕魚技術而聞名街頭巷尾的冒險者在機緣巧合之下，<hex:02100103>認識了釣遍世界的「旅行捕魚人」並與其一同在伊修加德地區享受釣魚的樂趣。"
62,68435,8,20,3,114756,114156,114456,"捕魚人任務 3","","旅行捕魚愛好者昂索姆為了對抗暴君弟弟，守護自己領地的子民，<hex:02100103>從冒險者釣上的魚中取回了象徵繼承權的戒指，向弟弟發起了挑戰。<hex:02100103>從伊修加德回到捕魚人公會的冒險者與公會會長瓦瓦拉哥的魚人族朋友交流後，<hex:02100103>決定出發尋找消失的「海流星」的蹤跡。"
63,65801,4,21,1,114757,114157,114457,"劍術師任務 ","","在烏爾達哈的國民級娛樂「劍鬥」的舉辦地「鬥技場」旁邊，<hex:02100103>便是培養出諸多劍鬥士冠軍的「劍術師公會」。<hex:02100103>冒險者手持劍與盾，跟隨在公會會長密拉身邊修習劍術，<hex:02100103>並通過與揮舞著名劍的神秘男子相遇，逐步揭開了烏爾達哈的陰暗面。"
64,65855,4,22,1,114758,114158,114458,"斧術師任務","","自古時起，「斧子」這一工具就與「船」息息相關，<hex:02100103>因此「斧術師公會」也是海都利姆薩·羅敏薩的象徵之一。<hex:02100103>冒險者在公會會長威爾恩茲恩的指導下體會著斧術的奧妙，<hex:02100103>同時為了實現身世悲慘的少年的願望，冒險者決定前往挑戰殺害了少年雙親的魔物。"
65,65977,6,23,1,114759,114159,114459,"幻術師任務","","通過能夠傾聽黑衣森林元靈之聲的法師，灌注生命力的魔法「幻術」得到發展，<hex:02100103>並由「幻術師公會」傳承至今。<hex:02100103>冒險者與公會會長艾·斯密·雅恩的弟子——某位問題少女一同，<hex:02100103>探尋著幻術師之路。"
66,65997,5,24,1,114760,114160,114460,"秘術師任務","","「秘術」這一魔法體系剛從南洋傳入時，能夠將其掌握之人寥寥無幾，<hex:02100103>為了培養後繼者，人們在利姆薩·羅敏薩開辦了「秘術師公會」。<hex:02100103>冒險者與代理會長圖比爾蓋姆、個性古怪的指導員一同，<hex:02100103>追尋著秘術的真理。"
67,66103,5,25,1,114761,114161,114461,"格鬥家任務","","在烏爾達哈，格鬥家們以「鬥技場」舉行的「拳鬥賽事」為契機聚集於此。<hex:02100103>拳鬥士科內利亞從中脫穎而出並建立了道場，那就是如今的「格鬥家公會」的前身。<hex:02100103>而現在，發生了一件足以動搖整個格鬥家公會的大事，<hex:02100103>為了守住公會，冒險者正與公會會長哈蒙以及同門的夥伴們一起努力著。"
68,65975,5,26,1,114762,114162,114462,"槍術師任務","","早在格里達尼亞建國前便已存在的槍術，<hex:02100103>在原鬼哭隊隊長米斯塔爾建立「槍術師公會」後快速地發展了起來。<hex:02100103>冒險者在公會會長伊維因的指導下，通過對戰踢館之人，<hex:02100103>理解了槍術師所需的真正的「勇氣」。"
69,65691,5,27,1,114763,114163,114463,"雙劍師任務","","建於利姆薩·羅敏薩一隅的「雪絨花商會」的倉庫，<hex:02100103>其實是暗中守護海都治安的武裝組織「雙劍師公會」的據點。<hex:02100103>冒險者協助以公會會長賈可為首的「規矩」的守護者們，<hex:02100103>制裁著在拉諾西亞地區暗中違反規矩的傢伙。"
70,65612,5,28,1,114764,114164,114464,"弓箭手任務","","精靈族的長弓術與貓魅族的短弓術相結合，<hex:02100103>便形成了格里達尼亞特有的「弓術」，「弓箭手公會」也應運而生。<hex:02100103>在公會會長呂西安娜的教導下，冒險者磨練著自己的弓術，<hex:02100103>與各自抱有煩惱的師兄師姐一起，將箭矢指向了在黑衣森林作惡的不法之徒。"
71,65889,5,29,1,114765,114165,114465,"咒術師任務","","「咒術」是由納爾札爾教團的送葬儀式發展而來的魔法體系，<hex:02100103>因此，「咒術師公會」也附設在烏爾達哈的「阿達內斯聖櫃堂」。<hex:02100103>冒險者跟隨以老大可可布奇為首的咒術師公會五兄弟，學習操控魔力的方法，<hex:02100103>卻被捲入了五兄弟的「另外一個弟弟」引起的麻煩中。"
72,66596,4,21,2,114772,114172,114472,"騎士任務 1","","負責守護烏爾達哈王家的近衛兵團銀胄團將騎士戰技公之於眾。<hex:02100103>銀胄團總長傑林斯這樣做的目的似乎是為了獲取強大冒險者的幫助，<hex:02100103>從而使得已經失去民眾支持的銀胄團重新獲得威信。<hex:02100103>冒險者在與騎士們共同奮戰的過程中，逐漸發現了自己的騎士精神。"
73,67573,4,21,3,114773,114173,114473,"騎士任務 2","","為了尋找守誓之劍而踏上旅途的索爾克扎吉爾如今杳無音訊。<hex:02100103>冒險者與其弟子——名叫康斯坦的少年共同追尋其足跡，<hex:02100103>一起來到了龍堡深處。<hex:02100103>而在路上等待著他們的，是接二連三的謎團和通往「真正的騎士」的試煉。"
74,68111,4,21,4,114774,114174,114474,"騎士任務 3","","成為了「真正的騎士」，開始作為自由騎士開啟新篇章的冒險者，<hex:02100103>得知了歷史悠久的烏爾王盃鬥技大會恢復的消息。<hex:02100103>因劍術出眾而收到邀請函的冒險者，<hex:02100103>將要與來自艾歐澤亞各地的劍豪們一決高下……"
75,68746,4,21,5,114775,114175,114475,"騎士任務 4","","為第一世界奪回了黑夜的冒險者在原初世界與熟人重逢。<hex:02100103>據銀胄團總長傑林斯所說，<hex:02100103>劍術師公會會長密拉最近的樣子有些奇怪。<hex:02100103>為了一探究竟，冒險者來到了劍術師公會，沒想到卻遇到了……"
76,66590,4,22,2,114776,114176,114476,"戰士任務 1","","傳承於北阿巴拉提亞山脈戰士的故鄉中的戰技，<hex:02100103>是能夠激發潛藏於內心深處的獸性「原初之魂」的神奇技藝。<hex:02100103>不過同時也伴隨著失去理性化身狂戰士的危險。<hex:02100103>冒險者與盼望著戰士復興的居里斯·高吉一起，勇敢面對自己的原初之魂。"
