key,0,1,2,3,4,5,6,7,8,9,10,11,12
36,"E　火葬爐海溝南端","E",590,750,600,2,False,2,57,6,600,14,522300
37,"F　灰海2","F",180,440,300,2,False,2,57,6,600,14,522300
38,"G　灰海3","G",350,480,300,2,False,3,60,6,660,15,548410
39,"H　修道士墓碑","H",340,330,600,2,False,3,60,6,660,15,548410
40,"I　火葬爐海溝中部","I",500,580,600,2,False,3,60,6,660,15,548410
41,"J　神父的岩窟","J",460,420,600,2,False,3,60,6,660,15,548410
42,"K　灰海4","K",140,310,300,2,False,3,60,6,660,15,548410
43,"L　沙礫海盆","L",440,200,600,2,False,4,63,6,720,16,595020
44,"M　單只手套島","M",820,550,100,2,False,4,63,6,720,16,595020
45,"N　破洞襪子島","N",870,400,100,2,False,4,65,6,780,17,645590
46,"O　走私客的交易場","O",760,660,300,2,False,4,65,6,780,17,645590
47,"P　磨破袍子島","P",584,195,100,2,False,4,65,6,780,20,645590
48,"Q　商貿神的煙管","Q",761,885,600,2,False,4,66,6,800,20,661730
49,"R　走錨海域","R",818,145,400,2,False,5,67,6,820,21,678274
50,"S　貪婪胃","S",680,285,300,2,False,5,69,6,860,21,712612
51,"T　藍洞","T",168,140,600,2,False,5,70,6,880,22,730428
52,"","",64,591,0,3,True,0,0,0,0,0,0
53,"A　祭壇島","A",199,455,100,3,False,1,70,6,880,22,730428
54,"B　章魚的陶罐","B",246,703,1000,3,False,1,70,6,880,22,730428
55,"C　翠浪海1","C",261,289,400,3,False,1,70,6,880,22,730428
56,"D　惡魔章魚的狩獵場","D",101,203,1000,3,False,1,72,6,900,23,767407
57,"E　吸盤礁","E",474,89,700,3,False,1,72,6,900,23,767407
58,"F　惡魔章魚的睡床","F",214,98,1000,3,False,1,73,6,920,24,786593
59,"G　海神的釣鉤","G",689,253,500,3,False,1,74,6,930,24,806258
60,"H　翠浪海2","H",676,76,400,3,False,2,75,6,940,25,826415
61,"I　盲目峽灣","I",842,186,200,3,False,2,75,6,940,25,826415
62,"J　翠浪海3","J",723,387,300,3,False,2,75,6,940,25,826415
63,"K　穆厄吉恩的鍛鐵場","K",855,96,500,3,False,2,76,6,950,26,847076
64,"L　海神的浮標","L",889,305,100,3,False,3,78,6,960,28,889960
65,"M　翠浪海4","M",659,637,300,3,False,3,80,6,980,30,935015
66,"N　海藻樹林","N",626,805,500,3,False,3,81,6,1000,31,958391
67,"O　翠浪海5","O",938,188,600,3,False,4,83,6,1040,32,1006910
68,"P　鈍刀切岸","P",481,918,100,3,False,4,85,6,1080,33,1057886
69,"Q　駐風港","Q",889,445,500,3,False,5,87,6,1120,34,1111443
70,"R　龍骨塚","R",736,764,600,3,False,5,88,6,1140,35,1139230
71,"S　翠浪海6","S",852,617,1000,3,False,5,89,6,1160,36,1167711
72,"T　海獸的靈園","T",832,888,1000,3,False,5,90,6,1180,37,1196904
73,"","",0,0,0,0,False,0,0,0,0,0,0
74,"","",0,0,0,0,False,0,0,0,0,0,0
75,"","",0,0,0,0,False,0,0,0,0,0,0
76,"","",0,0,0,0,False,0,0,0,0,0,0
77,"","",0,0,0,0,False,0,0,0,0,0,0
78,"","",0,0,0,0,False,0,0,0,0,0,0
79,"","",0,0,0,0,False,0,0,0,0,0,0
