key,0,1,2,3,4,5,6
15,1,1,150811,1,"<hex:02100103>在任務的最後一步時，目標角色的頭上會顯示出表示<hex:024804F201FA03><hex:024904F201FB03>任務終點<hex:0249020103><hex:0248020103>的符號。<hex:02100103><hex:02100103>用<hex:024804F201FA03><hex:024904F201FB03>滑鼠右鍵<hex:0249020103><hex:0248020103>點擊人物或表徵圖會開始任務相關對話，並在完成任務之後獲得經驗值及金幣等相應的<hex:024804F201FA03><hex:024904F201FB03>報酬<hex:0249020103><hex:0248020103>。","<hex:02100103>在任務的最後一步時，目標角色的頭上會顯示出表示<hex:024804F201FA03><hex:024904F201FB03>任務終點<hex:0249020103><hex:0248020103>的符號。<hex:02100103><hex:02100103>用<hex:024804F201FA03><hex:024904F201FB03>滑鼠右鍵<hex:0249020103><hex:0248020103>點擊人物或表徵圖會開始任務相關對話，並在完成任務之後獲得經驗值及金幣等相應的<hex:024804F201FA03><hex:024904F201FB03>報酬<hex:0249020103><hex:0248020103>。","<hex:02100103>在任務的最後一步時，目標角色的頭上會顯示出表示<hex:024804F201FA03><hex:024904F201FB03>任務終點<hex:0249020103><hex:0248020103>的符號。<hex:02100103><hex:02100103>用<hex:024804F201FA03><hex:024904F201FB03>滑鼠右鍵<hex:0249020103><hex:0248020103>點擊人物或表徵圖會開始任務相關對話，並在完成任務之後獲得經驗值及金幣等相應的<hex:024804F201FA03><hex:024904F201FB03>報酬<hex:0249020103><hex:0248020103>。"
16,1,1,150812,1,"<hex:02100103>在任務的最後一步時，目標角色的頭上會顯示出表示<hex:024804F201FA03><hex:024904F201FB03>任務終點<hex:0249020103><hex:0248020103>的符號。<hex:02100103><hex:02100103>按<hex:024804F201FA03><hex:024904F201FB03>確認鍵<hex:0249020103><hex:0248020103>選擇人物會開始任務相關對話，並在完成任務之後獲得經驗值及金幣等相應的<hex:024804F201FA03><hex:024904F201FB03>報酬<hex:0249020103><hex:0248020103>。","<hex:02100103>在任務的最後一步時，目標角色的頭上會顯示出表示<hex:024804F201FA03><hex:024904F201FB03>任務終點<hex:0249020103><hex:0248020103>的符號。<hex:02100103><hex:02100103>按<hex:024804F201FA03><hex:024904F201FB03>確認鍵<hex:0249020103><hex:0248020103>選擇人物會開始任務相關對話，並在完成任務之後獲得經驗值及金幣等相應的<hex:024804F201FA03><hex:024904F201FB03>報酬<hex:0249020103><hex:0248020103>。","<hex:02100103>在任務的最後一步時，目標角色的頭上會顯示出表示<hex:024804F201FA03><hex:024904F201FB03>任務終點<hex:0249020103><hex:0248020103>的符號。<hex:02100103><hex:02100103>按<hex:024804F201FA03><hex:024904F201FB03>確認鍵<hex:0249020103><hex:0248020103>選擇人物會開始任務相關對話，並在完成任務之後獲得經驗值及金幣等相應的<hex:024804F201FA03><hex:024904F201FB03>報酬<hex:0249020103><hex:0248020103>。"
17,0,0,0,0,"","",""
18,0,0,0,0,"","",""
19,0,0,0,0,"","",""
20,1,0,150141,0,"<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>快捷指令<hex:0249020103><hex:0248020103>中可以使用遊戲裡的各種常用功能。<hex:02100103><hex:02100103>例如，選擇<hex:024804F201FA03><hex:024904F201FB03>角色<hex:0249020103><hex:0248020103>可以查看當前的裝備及狀態，選擇<hex:024804F201FA03><hex:024904F201FB03>日誌<hex:0249020103><hex:0248020103>可以查看當前接受的任務的具體情況和已經完成的任務履歷。","",""
21,1,0,150142,0,"<hex:02100103>選擇<hex:024804F201FA03><hex:024904F201FB03>系統<hex:0249020103><hex:0248020103>可以打開系統選單，其中不但包括能對鍵盤進行調整的<hex:024804F201FA03><hex:024904F201FB03>鍵位設定<hex:0249020103><hex:0248020103>，還有能對操作類型及視角等進行調整的<hex:024804F201FA03><hex:024904F201FB03>角色設定<hex:0249020103><hex:0248020103>等功能。<hex:02100103><hex:02100103>已經查看過的<hex:024804F201FA03><hex:024904F201FB03>指南<hex:0249020103><hex:0248020103>內容也可以在系統選單中的<hex:024804F201FA03><hex:024904F201FB03>新手指南<hex:0249020103><hex:0248020103>裡再次確認。","",""
22,1,0,150143,0,"<hex:02100103>遊戲中的狀態會自動保存到伺服器上。<hex:02100103><hex:02100103>為了防止出現意外丟失遊戲進度，強烈建議在遊戲中選擇<hex:024804F201FA03><hex:024904F201FB03>退出遊戲<hex:0249020103><hex:0248020103>來退出。<hex:02100103><hex:02100103>此外，其他的快捷指令也都對應著各種便利的功能。","",""
23,0,0,0,0,"","",""
24,0,0,0,0,"","",""
25,1,0,150131,0,"<hex:02100103>發動<hex:024804F201FA03><hex:024904F201FB03>返回<hex:0249020103><hex:0248020103>魔法可以馬上回到<hex:024804F201FA03><hex:024904F201FB03>返回點<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>在快捷指令的<hex:024804F201FA03><hex:024904F201FB03>地圖&移動<hex:0249020103><hex:0248020103>分類中也有<hex:024804F201FA03><hex:024904F201FB03>返回<hex:0249020103><hex:0248020103>的按鈕，可以很方便地詠唱魔法。<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※此魔法使用一次之後要等待地球時間15分鐘才能再次使用。<hex:0249020103><hex:0248020103>","",""
26,1,0,150132,0,"<hex:02100103>每顆乙太之光都可以進行<hex:024804F201FA03><hex:024904F201FB03>返回點<hex:0249020103><hex:0248020103>設定，不過每次只能設定在一個地方，無法設定多個返回點，所以推薦設定在來往頻率最高的地區。<hex:02100103><hex:02100103>用<hex:024804F201FA03><hex:024904F201FB03>滑鼠右鍵<hex:0249020103><hex:0248020103>點擊乙太之光打開選單可以進行返回點的設定。","",""
27,1,0,150131,0,"<hex:02100103>發動<hex:024804F201FA03><hex:024904F201FB03>返回<hex:0249020103><hex:0248020103>魔法可以馬上回到<hex:024804F201FA03><hex:024904F201FB03>返回點<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>在快捷指令的<hex:024804F201FA03><hex:024904F201FB03>地圖&移動<hex:0249020103><hex:0248020103>分類中也有<hex:024804F201FA03><hex:024904F201FB03>返回<hex:0249020103><hex:0248020103>的按鈕，可以很方便地詠唱魔法。<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※此魔法使用一次之後要等待地球時間15分鐘才能再次使用。<hex:0249020103><hex:0248020103>","",""
28,1,0,150133,0,"<hex:02100103>每顆乙太之光都可以進行<hex:024804F201FA03><hex:024904F201FB03>返回點<hex:0249020103><hex:0248020103>設定，不過每次只能設定在一個地方，無法設定多個返回點，所以推薦設定在來往頻率最高的地區。<hex:02100103><hex:02100103>選中乙太之光後按下<hex:024804F201FA03><hex:024904F201FB03>確認鍵<hex:0249020103><hex:0248020103>打開選單可以進行返回點的設定。","",""
29,0,0,0,0,"","",""
30,1,1,150041,0,"<hex:02100103>在執行任務的過程中，地圖上會顯示出該任務的目的地。<hex:02100103><hex:02100103>點擊快捷指令<hex:024804F201FA03><hex:024904F201FB03>地圖&移動<hex:0249020103><hex:0248020103>分類中的<hex:024804F201FA03><hex:024904F201FB03>地圖<hex:0249020103><hex:0248020103>按鈕，或者按下鍵盤上的<hex:024804F201FA03><hex:024904F201FB03>M鍵<hex:0249020103><hex:0248020103>，都可以打開地圖視窗進行確認。","",""
31,1,1,150042,0,"<hex:02100103>點擊目的列表中的<hex:024804F201FA03><hex:024904F201FB03>當前目的<hex:0249020103><hex:0248020103>也可以打開地圖視窗，同時會直觀地顯示出接下來的目標區域。<hex:02100103><hex:02100103>只要按照地圖上的指示前進，就不用擔心在任務途中迷失方向了。","",""
32,1,1,150041,0,"<hex:02100103>在執行任務的過程中，地圖上會顯示出該任務的目的地。<hex:02100103><hex:02100103>選擇快捷指令<hex:024804F201FA03><hex:024904F201FB03>地圖&移動<hex:0249020103><hex:0248020103>分類中的地圖<hex:024804F201FA03><hex:024904F201FB03>按鈕<hex:0249020103><hex:0248020103>鍵可以打開地圖視窗進行確認。","",""
33,1,1,150042,0,"<hex:02100103>選擇目的列表中的<hex:024804F201FA03><hex:024904F201FB03>當前目的<hex:0249020103><hex:0248020103>也可以打開地圖視窗，同時會直觀地顯示出接下來的目標區域。<hex:02100103><hex:02100103>只要按照地圖上的指示前進，就不用擔心在任務途中迷失方向了。","",""
34,0,0,0,0,"","",""
35,1,0,150181,0,"<hex:02100103>在快捷指令中點擊<hex:024804F201FA03><hex:024904F201FB03>角色<hex:0249020103><hex:0248020103>按鈕或者按下鍵盤上的<hex:024804F201FA03><hex:024904F201FB03>C鍵<hex:0249020103><hex:0248020103>可以打開<hex:024804F201FA03><hex:024904F201FB03>角色畫面<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>角色畫面<hex:0249020103><hex:0248020103>中可以查看當前的裝備情況。","",""
36,1,0,150182,0,"<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>角色畫面<hex:0249020103><hex:0248020103>中還可以更換玩家自身的裝備。<hex:02100103><hex:02100103>選中裝備欄的特定部位會打開<hex:024804F201FA03><hex:024904F201FB03>兵裝庫<hex:0249020103><hex:0248020103>的視窗，每種裝備都單獨分為一類，只需切換部位便可快速進行裝備的更換。","",""
37,1,0,150181,0,"<hex:02100103>在快捷指令中選擇<hex:024804F201FA03><hex:024904F201FB03>角色<hex:0249020103><hex:0248020103>可以打開<hex:024804F201FA03><hex:024904F201FB03>角色畫面<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>角色畫面<hex:0249020103><hex:0248020103>中可以查看當前的裝備情況。","",""
38,0,0,0,0,"","",""
39,0,0,0,0,"","",""
40,1,0,150221,0,"<hex:02100103>與城內的<hex:024804F201FA03><hex:024904F201FB03>郵差莫古力<hex:0249020103><hex:0248020103>對話，或者查看自己住宅庭院中的<hex:024804F201FA03><hex:024904F201FB03>莫古信箱<hex:0249020103><hex:0248020103>，都可以開啟<hex:024804F201FA03><hex:024904F201FB03>莫古力速遞<hex:0249020103><hex:0248020103>的服務。<hex:02100103><hex:02100103>利用莫古力速遞，可以方便快捷地向登錄到好友名單中的朋友發送郵件。","",""
41,1,0,150222,0,"<hex:02100103>點擊莫古力速遞視窗右上的<hex:024804F201FA03><hex:024904F201FB03>寫新郵件<hex:0249020103><hex:0248020103>按鈕，可以打開<hex:024804F201FA03><hex:024904F201FB03>編寫新郵件<hex:0249020103><hex:0248020103>的視窗並寫入郵件內容。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>道具<hex:0249020103><hex:0248020103>及<hex:024804F201FA03><hex:024904F201FB03>金幣<hex:0249020103><hex:0248020103>等物品也可以以附件的形式隨文本一起發送給對方。","",""
42,1,0,150222,0,"<hex:02100103>選擇莫古力速遞視窗右上的<hex:024804F201FA03><hex:024904F201FB03>寫新郵件<hex:0249020103><hex:0248020103>按鈕，可以打開<hex:024804F201FA03><hex:024904F201FB03>編寫新郵件<hex:0249020103><hex:0248020103>的視窗並寫入郵件內容。<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>道具<hex:0249020103><hex:0248020103>及<hex:024804F201FA03><hex:024904F201FB03>金幣<hex:0249020103><hex:0248020103>等物品也可以以附件的形式隨文本一起發送給對方。","",""
43,0,0,0,0,"","",""
44,0,0,0,0,"","",""
45,1,0,150191,0,"<hex:02100103>與<hex:024804F201FA03><hex:024904F201FB03>城內乙太之晶<hex:0249020103><hex:0248020103>進行共鳴後可以使用<hex:024804F201FA03><hex:024904F201FB03>都市傳送網<hex:0249020103><hex:0248020103>的功能。<hex:02100103><hex:02100103>通過都市傳送網，可以在城內的乙太之晶之間自由來往。","",""
46,0,0,0,0,"","",""
47,0,0,0,0,"","",""
48,0,0,0,0,"","",""
49,0,0,0,0,"","",""
50,1,0,150151,0,"<hex:02100103>通過與城市之外的乙太之光進行共鳴，可以學會<hex:024804F201FA03><hex:024904F201FB03>傳送<hex:0249020103><hex:0248020103>這一魔法。<hex:02100103><hex:02100103>在快捷指令的<hex:024804F201FA03><hex:024904F201FB03>地圖&移動<hex:0249020103><hex:0248020103>分類中選擇<hex:024804F201FA03><hex:024904F201FB03>傳送<hex:0249020103><hex:0248020103>，可以瞬間前往任何一個已經共鳴過的乙太之光所在地。","",""
51,1,0,150152,0,"<hex:02100103>進行傳送時會消耗相應的<hex:024804F201FA03><hex:024904F201FB03>金幣<hex:0249020103><hex:0248020103>。<hex:02100103><hex:02100103>具體消耗情況則隨每個地點而有所不同。","",""
52,1,0,150153,0,"<hex:02100103>乙太之光可以添加到<hex:024804F201FA03><hex:024904F201FB03>收藏夾<hex:0249020103><hex:0248020103>中，收藏之後，傳送到該地點時所需要的金幣會減少。<hex:02100103><hex:02100103>收藏夾中最多可以保存三處乙太之光。<hex:02100103><hex:02100103>將平時使用較多的乙太之光收藏起來會比較方便。","",""
53,0,0,0,0,"","",""
54,0,0,0,0,"","",""
55,0,0,0,0,"","",""
56,0,0,0,0,"","",""
57,0,0,0,0,"","",""
58,0,0,0,0,"","",""
59,0,0,0,0,"","",""
60,1,1,150031,0,"<hex:02100103>接受任務之後，可以在<hex:024804F201FA03><hex:024904F201FB03>目的列表<hex:0249020103><hex:0248020103>中查看當前的任務進行狀況。<hex:02100103><hex:02100103>列表中最多可以顯示5個任務，可以很直觀地看到接下來的任務要求。","",""
61,1,1,150032,0,"<hex:02100103>點擊目的列表中顯示的<hex:024804F201FA03><hex:024904F201FB03>任務標題<hex:0249020103><hex:0248020103>可以快速打開該任務的<hex:024804F201FA03><hex:024904F201FB03>日誌<hex:0249020103><hex:0248020103>視窗。<hex:02100103><hex:02100103>任務日誌中記錄了該任務的任務目的、詳細情況以及完成獎勵等各種具體資訊。","",""
62,1,1,150032,0,"<hex:02100103>選擇目的列表中顯示的<hex:024804F201FA03><hex:024904F201FB03>任務標題<hex:0249020103><hex:0248020103>可以快速打開該任務的<hex:024804F201FA03><hex:024904F201FB03>日誌<hex:0249020103><hex:0248020103>視窗。<hex:02100103><hex:02100103>任務日誌中記錄了該任務的任務目的、詳細情況以及完成獎勵等各種具體資訊。","",""
63,0,0,0,0,"","",""
64,0,0,0,0,"","",""
65,1,1,150051,0,"<hex:02100103>在執行部分任務時，會遇到需要使用<hex:024804F201FA03><hex:024904F201FB03>任務道具<hex:0249020103><hex:0248020103>的情況。<hex:02100103><hex:02100103>右鍵點擊任務目標會打開任務道具視窗，之後再用右鍵點擊道具並選擇<hex:024804F201FA03><hex:024904F201FB03>使用<hex:0249020103><hex:0248020103>即可發動效果。","",""
66,1,1,150051,0,"<hex:02100103>在執行部分任務時，會遇到需要使用<hex:024804F201FA03><hex:024904F201FB03>任務道具<hex:0249020103><hex:0248020103>的情況。<hex:02100103><hex:02100103>選中任務目標會打開任務道具視窗，之後對相應道具打開次級指令選單並選擇<hex:024804F201FA03><hex:024904F201FB03>使用<hex:0249020103><hex:0248020103>即可發動效果。","",""
67,0,0,0,0,"","",""
68,0,0,0,0,"","",""
69,0,0,0,0,"","",""
70,1,1,150061,0,"<hex:02100103>在執行部分任務時，會遇到需要對<hex:024804F201FA03><hex:024904F201FB03>場景物體<hex:0249020103><hex:0248020103>進行操作的情況。<hex:02100103><hex:02100103>右鍵單擊場景物體便可以繼續推進任務。","",""
71,1,1,150061,0,"<hex:02100103>在執行部分任務時，會遇到需要對<hex:024804F201FA03><hex:024904F201FB03>場景物體<hex:0249020103><hex:0248020103>進行操作的情況。<hex:02100103><hex:02100103>選擇場景物體便可以繼續推進任務。","",""
72,0,0,0,0,"","",""
73,0,0,0,0,"","",""
74,0,0,0,0,"","",""
75,0,0,0,0,"","",""
76,0,0,0,0,"","",""
77,0,0,0,0,"","",""
78,0,0,0,0,"","",""
79,0,0,0,0,"","",""
80,1,1,150381,0,"<hex:02100103>利用各種<hex:024804F201FA03><hex:024904F201FB03>情感動作<hex:0249020103><hex:0248020103>能夠表現出當前的心情和情緒。<hex:02100103><hex:02100103>選中目標角色後，從快捷指令的<hex:024804F201FA03><hex:024904F201FB03>社交<hex:0249020103><hex:0248020103>分類中點擊<hex:024804F201FA03><hex:024904F201FB03>情感動作<hex:0249020103><hex:0248020103>可以打開視窗選擇想要表達的情感。","",""
81,1,1,150382,1,"<hex:02100103>打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。<hex:02100103><hex:02100103>現在就來試試吧，請選中<hex:024804F201FA03><hex:024904F201FB03>羅絲溫<hex:0249020103><hex:0248020103>，並作出<hex:024804F201FA03><hex:024904F201FB03>下跪<hex:0249020103><hex:0248020103>的動作。","<hex:02100103>打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。<hex:02100103><hex:02100103>現在就來試試吧，請選中<hex:024804F201FA03><hex:024904F201FB03>奧妮莉<hex:0249020103><hex:0248020103>，並作出<hex:024804F201FA03><hex:024904F201FB03>行禮<hex:0249020103><hex:0248020103>的動作。","<hex:02100103>打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。<hex:02100103><hex:02100103>現在就來試試吧，請選中<hex:024804F201FA03><hex:024904F201FB03>茱莉安娜<hex:0249020103><hex:0248020103>，並作出<hex:024804F201FA03><hex:024904F201FB03>歡迎<hex:0249020103><hex:0248020103>的動作。"
82,1,1,150383,0,"<hex:02100103>情感動作也能夠設定到<hex:024804F201FA03><hex:024904F201FB03>熱鍵欄<hex:0249020103><hex:0248020103>裡，這樣就可以隨時方便快捷地表達自己的情緒了。<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※另外，道具和巨集指令也可以設定到熱鍵欄裡。<hex:0249020103><hex:0248020103>","",""
83,1,1,150382,1,"<hex:02100103>打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。<hex:02100103><hex:02100103>現在就來試試吧，請選中<hex:024804F201FA03><hex:024904F201FB03>羅絲溫<hex:0249020103><hex:0248020103>，並作出<hex:024804F201FA03><hex:024904F201FB03>下跪<hex:0249020103><hex:0248020103>的動作。","<hex:02100103>打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。<hex:02100103><hex:02100103>現在就來試試吧，請選中<hex:024804F201FA03><hex:024904F201FB03>奧妮莉<hex:0249020103><hex:0248020103>，並作出<hex:024804F201FA03><hex:024904F201FB03>行禮<hex:0249020103><hex:0248020103>的動作。","<hex:02100103>打開情感動作視窗之後會列出很多種表情以及動作，根據時機和場合做出合適的選擇會令遊戲增添很多樂趣。<hex:02100103><hex:02100103>現在就來試試吧，請選中<hex:024804F201FA03><hex:024904F201FB03>茱莉安娜<hex:0249020103><hex:0248020103>，並作出<hex:024804F201FA03><hex:024904F201FB03>歡迎<hex:0249020103><hex:0248020103>的動作。"
84,0,0,0,0,"","",""
85,0,0,0,0,"","",""
86,0,0,0,0,"","",""
87,0,0,0,0,"","",""
88,0,0,0,0,"","",""
89,0,0,0,0,"","",""
90,1,0,150161,0,"<hex:02100103>體力變為0時會陷入<hex:024804F201FA03><hex:024904F201FB03>無法戰鬥<hex:0249020103><hex:0248020103>狀態。<hex:02100103><hex:02100103>此時無法進行任何操作，只能回到<hex:024804F201FA03><hex:024904F201FB03>返回點<hex:0249020103><hex:0248020103>或任務中的<hex:024804F201FA03><hex:024904F201FB03>開始地點<hex:0249020103><hex:0248020103>重新開始。<hex:02100103><hex:02100103>不過如果有其他玩家在場，也可以請其使用幻術的<hex:024804F201FA03><hex:024904F201FB03>復活<hex:0249020103><hex:0248020103>等魔法令自己再次站起來。","",""
91,1,0,150162,0,"<hex:02100103>陷入無法戰鬥狀態時，所穿裝備的<hex:024804F201FA03><hex:024904F201FB03>耐久度<hex:0249020103><hex:0248020103>會下降。<hex:02100103><hex:02100103>耐久度降為0%時，該裝備的性能將會完全無法發揮出來。<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※不過，9級以下或是處於部分特殊任務中的玩家即使陷入無法戰鬥狀態，也不會減少裝備的耐久度。<hex:0249020103><hex:0248020103>","",""
92,0,0,0,0,"","",""
93,0,0,0,0,"","",""
94,0,0,0,0,"","",""
95,1,0,150411,0,"<hex:02100103>在技能選單中有一個分類叫做<hex:024804F201FA03><hex:024904F201FB03>額外技能<hex:0249020103><hex:0248020103>。在這個分類中可以查看當前其他大地使者或能工巧匠職業已經學會的技能中，有哪些是現在的職業可以使用的。<hex:02100103><hex:02100103>通過快捷指令<hex:024804F201FA03><hex:024904F201FB03>角色<hex:0249020103><hex:0248020103>分類中的<hex:024804F201FA03><hex:024904F201FB03>技能<hex:0249020103><hex:0248020103>按鈕可以打開技能選單視窗。","",""
96,1,0,150412,0,"<hex:02100103>額外技能的裝備數量受到角色當前職業等級的限制。隨著等級的提升，可裝備數量也會增加。<hex:02100103><hex:02100103>一開始只能夠裝備一個，10級之後每<hex:024804F201FA03><hex:024904F201FB03>提升5級<hex:0249020103><hex:0248020103>會增加一個，最多可增加到十個。<hex:02100103><hex:02100103>在選單中勾選相應的技能之後，該技能便可以作為額外技能設定到熱鍵欄中。","",""
97,1,0,150413,0,"選中的<hex:024804F201FA03><hex:024904F201FB03>額外技能<hex:0249020103><hex:0248020103>會在技能選單的下面顯示出來。<hex:02100103><hex:02100103>將技能對應的表徵圖<hex:024804F201FA03><hex:024904F201FB03>拖曳<hex:0249020103><hex:0248020103>到熱鍵欄上之後就可以隨時使用了。","",""
98,1,0,150414,0,"<hex:02100103>選中<hex:024804F201FA03><hex:024904F201FB03>額外技能<hex:0249020103><hex:0248020103>之後會進入到<hex:024804F201FA03><hex:024904F201FB03>設定熱鍵欄<hex:0249020103><hex:0248020103>的模式。<hex:02100103><hex:02100103>此時按下對應的按鍵可以將技能設定到對應的位置上，與發動技能時的操作基本相同。","",""
99,0,0,0,0,"","",""
100,0,0,0,0,"","",""
101,0,0,0,0,"","",""
102,0,0,0,0,"","",""
103,0,0,0,0,"","",""
104,0,0,0,0,"","",""
105,1,0,150572,0,"<hex:02100103>退出迷宮有兩種方法，既可以通過任務搜尋器的<hex:024804F201FA03><hex:024904F201FB03>退出<hex:0249020103><hex:0248020103>按鈕離開，也可以從出發地點的入口離開，不過這樣一來離開的同時也會退出小隊。<hex:02100103><hex:02100103>另一種方法是與隊友合力一起打倒最深處的強力敵人，之後在現場會出現退出點。利用退出點可以隨全隊一起退出迷宮。","",""
106,1,0,150573,0,"<hex:02100103>在迷宮中有著複數的強力敵人，而且通常都處於特定的房間內。<hex:02100103><hex:02100103>在戰鬥開始的一段時間之後房間會被封鎖起來，所以千萬要等到隊員都集合之後再開始戰鬥。","",""
107,1,0,150574,0,"<hex:02100103>在戰鬥中被打倒時，可以在原地等待其他玩家的救援，或返回到迷宮的出發點重新出發。<hex:02100103><hex:02100103>只要不放棄，在限制時間內可以不斷進行挑戰，隊友之間的配合是非常重要的！","",""
108,0,0,0,0,"","",""
109,0,0,0,0,"","",""
110,1,0,150111,0,"<hex:02100103>職業是根據當前<hex:024804F201FA03><hex:024904F201FB03>主手<hex:0249020103><hex:0248020103>上的裝備決定的。<hex:02100103><hex:02100103>更換主手裝備便可輕鬆完成<hex:024804F201FA03><hex:024904F201FB03>轉職<hex:0249020103><hex:0248020103>。","",""
111,0,0,0,0,"","",""
112,0,0,0,0,"","",""
113,0,0,0,0,"","",""
114,0,0,0,0,"","",""
115,1,0,150391,0,"<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>套裝<hex:0249020103><hex:0248020103>功能能夠將各種裝備的搭配分別保存下來。<hex:02100103><hex:02100103>轉職的時候使用套裝功能，可以同時變更全身所有裝備。<hex:02100103><hex:02100103>只要事先將對應的裝備準備好，便可以隨時隨地瞬間更換裝備。","",""
116,1,0,150392,0,"<hex:02100103>設定套裝配置可以在<hex:024804F201FA03><hex:024904F201FB03>角色<hex:0249020103><hex:0248020103>視窗中進行。<hex:02100103><hex:02100103>按下<hex:024804F201FA03><hex:024904F201FB03>＋<hex:0249020103><hex:0248020103>按鈕便可以將當前身上穿戴的裝備作為套裝保存下來。<hex:02100103><hex:02100103>利用套裝，無論是職業特定的裝備還是各種混搭的漂亮裝備都可以隨時記錄下來並瞬間轉換完畢。","",""
117,0,0,0,0,"","",""
118,0,0,0,0,"","",""
119,0,0,0,0,"","",""
120,1,1,150791,0,"<hex:02100103>進入了特殊的戰鬥區域。這裡將要面臨的是在劇情上很重要的戰鬥和敵人。<hex:02100103><hex:02100103>按照畫面右側的<hex:024804F201FA03><hex:024904F201FB03>目的列表<hex:0249020103><hex:0248020103>的內容，全力進行戰鬥吧！","",""
121,1,1,150792,0,"<hex:02100103>在戰鬥場地上會有一些紅色的虛線。這些虛線表示前方無法通行。<hex:02100103><hex:02100103>直到完成任務的要求之後，這片特殊區域才會開放。","",""
122,0,0,0,0,"","",""
