key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
12,2,3,1,20,8374538,8511905,69484,0,3,0,"老練魔法師——鐵膽獄火薩托瓦爾","追尋強敵現身的火焰法師——第四軍團術師大隊的上級百夫長，在決鬥中打倒鐵膽獄火薩托瓦爾！",0,0,0
13,1,1,48,20,8367337,8511910,69484,0,0,0,"鋼鐵魔獸——達因斯萊瓦","機械化步兵大隊的魔導技師長西西尼烏斯將新型的魔導兵器投放到了戰場，打倒鋼鐵魔獸——達因斯萊瓦！",0,0,0
14,1,1,48,20,8377886,8511912,69484,0,0,0,"新型鐵巨人——魔導勞工X式","機械化步兵大隊的魔導技師長西西尼烏斯將古代兵器改良後投入了實戰，打倒新型鐵巨人——魔導勞工X式！",0,0,0
15,1,5,48,20,8367328,8511913,69484,0,0,0,"戰慄之角——奇爾維尼克","魔獸大隊利用秘藥將魔獸的屍體復甦化作了戰鬥力，打倒戰慄之角——奇爾維尼克！",0,0,0
16,4,6,48,20,0,0,69487,1,0,9626,"帝國湖岸堡攻城戰","突破第四軍團於博茲雅建設的總根據地——帝國湖岸堡途中的障礙，鎮壓湖岸堡！",0,0,0
17,3,2,48,20,8664684,8664761,69620,0,0,0,"群蛇狂舞——妖戰百人隊","術師大隊妖戰百人隊驅使著妖蛇札尼爾查攻打了過來，殲滅敵方部隊，阻止他們的進攻！",0,0,0
18,1,1,48,20,8664685,8664762,69629,0,0,0,"試製性飛行魔導裝甲——黑色燃焰","地獄潛者的改良型機體黑色燃焰空降到了戰場，打倒試製型飛行型魔導裝甲——黑色燃焰！",0,0,0
19,2,3,1,20,8664686,8664763,69620,0,4,0,"慘無人道的強化兵——超級調整兵達波格","機械化步兵大隊的強化兵達波格被改造成了可怕的生物兵器，打倒超級調整兵達波格！",0,0,0
20,1,8,48,20,8664687,8664764,69620,0,0,0,"複製告密者——第四軍團謝米哈扎","魔導僧兵大隊的異端僧兵獻出生命解放了聖石碎片的力量，打倒第四軍團謝米哈扎！",0,0,0
21,1,4,48,20,8664688,8664765,69620,0,0,0,"焦土魔蠍——赫德提特","魔獸大隊的馴獸師放出了在終末焦土捕獲到的魔蠍，打倒焦土魔蠍——赫德提特！",0,0,0
22,3,7,48,20,8664689,8664766,69628,0,0,0,"鋼鐵人馬——魔導騎兵大隊","第四軍團投入了無人駕駛型魔導兵器用作增援，消滅魔導騎兵大隊！",0,0,0
23,2,3,1,20,8664690,8664767,69628,0,5,0,"第四軍團軍政官——梅內紐斯","負責指揮博茲雅駐軍的軍政官梅內紐斯發出了決鬥的邀請，在單挑中打倒梅內紐斯！",0,0,0
24,1,2,48,20,8664691,8664768,69628,0,0,0,"異界魔王——漢比","術師大隊的妖術師召喚出了渴望鮮血的大妖異，打倒異界魔王——漢比！",0,0,0
25,1,2,48,20,8664692,8664769,69628,0,0,0,"邪惡冰狼——惡名蒼狼","術師大隊的妖術師凝聚魔力召喚出了邪惡冰狼，打倒邪惡冰狼——惡名蒼狼！",0,0,0
26,1,8,48,20,8664693,8664770,69628,0,0,0,"複製魔人——第四軍團貝利亞斯","魔導僧兵大隊的異端僧兵獻出生命解放了聖石碎片的力量，打倒第四軍團貝利亞斯！",0,0,0
27,3,1,48,20,8664694,8664771,69629,0,0,0,"新兵器投入——機甲百人隊","機械化步兵大隊的魔導技師長西西尼烏斯將最新型的魔導兵器群投放到了戰場，殲滅機甲百人隊！",0,0,0
28,1,4,48,20,8664695,8664772,69629,0,0,0,"有角凶鳥——阿爾科諾斯特","魔獸大隊的馴獸師為了推進戰線，將殺手鐧投入了戰場，打倒有角凶鳥——阿爾科諾斯特！",0,0,0
29,1,8,48,20,8664696,8664773,69620,0,0,0,"複製統治者——第四軍團哈修馬利姆","魔導僧兵大隊的異端僧兵獻出生命解放了聖石碎片的力量，打倒第四軍團哈修馬利姆！",0,0,0
30,1,2,48,20,8664697,8664774,69629,0,0,0,"光輝虹蛇——阿依達","術師大隊為了維持戰線，召喚出了新的魔法生物，打倒光輝虹蛇——阿依達！",0,0,0
31,2,3,1,20,8664698,8664775,69629,0,6,0,"戰慄的百獸之王——獸王萊昂","不停尋找著強敵的千夫長萊昂發出了決鬥的邀請，在單挑中打倒獸王萊昂！",0,0,0
32,4,6,48,20,0,0,69624,5,0,9678,"旗艦達爾里阿達號攻略戰","敵方旗艦陷入了無法行動的狀態，趁現在與同伴們一起進攻，打倒最深處的敵人！",222,302,-661
